Date,Raw Material,Daily Consumption,Inventory Position,PO Number,PO Status,Expected Delivery Date,Vendor Name,Lead Time (Days),PO Creation Date
26-Nov-23,RM 4,7,339,,,,,,
27-Nov-23,RM 4,17,322,,,,,,
28-Nov-23,RM 4,4,318,,,,,,
10-Dec-23,RM 4,22,816,,,,,,
11-Dec-23,RM 4,26,790,,,,,,
12-Dec-23,RM 4,20,770,,,,,,
13-Dec-23,RM 4,2,768,,,,,,
14-Dec-23,RM 4,20,748,,,,,,
15-Dec-23,RM 4,8,740,,,,,,
16-Dec-23,RM 4,0,740,,,,,,
17-Dec-23,RM 4,21,719,,,,,,
18-Dec-23,RM 4,15,704,,,,,,
19-Dec-23,RM 4,12,692,,,,,,
20-Dec-23,RM 4,10,682,,,,,,
21-Dec-23,RM 4,17,665,,,,,,
22-Dec-23,RM 4,0,665,,,,,,
23-Dec-23,RM 4,3,662,,,,,,
24-Dec-23,RM 4,0,662,,,,,,
25-Dec-23,RM 4,2,660,,,,,,
26-Dec-23,RM 4,15,645,,,,,,
27-Dec-23,RM 4,18,627,,,,,,
28-Dec-23,RM 4,18,609,,,,,,
29-Dec-23,RM 4,14,595,,,,,,
30-Dec-23,RM 4,1,594,,,,,,
31-Dec-23,RM 4,0,594,,,,,,
1-Jan-24,RM 4,2,592,,,,,,
2-Jan-24,RM 4,22,570,,,,,,
3-Jan-24,RM 4,19,551,,,,,,
4-Jan-24,RM 4,19,532,,,,,,
5-Jan-24,RM 4,10,522,,,,,,
6-Jan-24,RM 4,12,510,,,,,,
7-Jan-24,RM 4,6,504,,,,,,
8-Jan-24,RM 4,16,488,,,,,,
9-Jan-24,RM 4,20,468,,,,,,
10-Jan-24,RM 4,3,465,,,,,,
11-Jan-24,RM 4,23,442,,,,,,
12-Jan-24,RM 4,11,431,,,,,,
13-Jan-24,RM 4,0,431,,,,,,
14-Jan-24,RM 4,0,431,,,,,,
15-Jan-24,RM 4,18,413,,,,,,
16-Jan-24,RM 4,16,397,,,,,,
17-Jan-24,RM 4,7,390,,,,,,
18-Jan-24,RM 4,5,385,,,,,,
19-Jan-24,RM 4,1,384,,,,,,
20-Jan-24,RM 4,12,372,,,,,,
21-Jan-24,RM 4,14,358,,,,,,
22-Jan-24,RM 4,13,345,,,,,,
23-Jan-24,RM 4,9,336,,,,,,
24-Jan-24,RM 4,4,332,,,,,,
25-Jan-24,RM 4,16,316,,,,,,
14-Feb-24,RM 4,22,1031,,,,,,
15-Feb-24,RM 4,15,1016,,,,,,
16-Feb-24,RM 4,12,1004,,,,,,
17-Feb-24,RM 4,22,982,,,,,,
18-Feb-24,RM 4,7,975,,,,,,
19-Feb-24,RM 4,6,969,,,,,,
20-Feb-24,RM 4,11,958,,,,,,
21-Feb-24,RM 4,1,957,,,,,,
22-Feb-24,RM 4,7,950,,,,,,
23-Feb-24,RM 4,11,939,,,,,,
24-Feb-24,RM 4,6,933,,,,,,
25-Feb-24,RM 4,27,906,,,,,,
26-Feb-24,RM 4,20,886,,,,,,
27-Feb-24,RM 4,6,880,,,,,,
28-Feb-24,RM 4,14,866,,,,,,
29-Feb-24,RM 4,13,853,,,,,,
1-Mar-24,RM 4,19,834,,,,,,
2-Mar-24,RM 4,0,834,,,,,,
3-Mar-24,RM 4,10,824,,,,,,
4-Mar-24,RM 4,15,809,,,,,,
5-Mar-24,RM 4,20,789,,,,,,
6-Mar-24,RM 4,15,774,,,,,,
7-Mar-24,RM 4,12,762,,,,,,
8-Mar-24,RM 4,0,762,,,,,,
9-Mar-24,RM 4,2,760,,,,,,
10-Mar-24,RM 4,12,748,,,,,,
11-Mar-24,RM 4,18,730,,,,,,
12-Mar-24,RM 4,13,717,,,,,,
13-Mar-24,RM 4,13,704,,,,,,
14-Mar-24,RM 4,19,685,,,,,,
15-Mar-24,RM 4,0,685,,,,,,
16-Mar-24,RM 4,14,671,,,,,,
17-Mar-24,RM 4,14,657,,,,,,
18-Mar-24,RM 4,5,652,,,,,,
19-Mar-24,RM 4,5,647,,,,,,
20-Mar-24,RM 4,14,633,,,,,,
21-Mar-24,RM 4,9,624,,,,,,
22-Mar-24,RM 4,4,620,,,,,,
23-Mar-24,RM 4,11,609,,,,,,
24-Mar-24,RM 4,18,591,,,,,,
25-Mar-24,RM 4,2,589,,,,,,
26-Mar-24,RM 4,6,583,,,,,,
27-Mar-24,RM 4,10,573,,,,,,
28-Mar-24,RM 4,7,566,,,,,,
29-Mar-24,RM 4,14,552,,,,,,
30-Mar-24,RM 4,13,539,,,,,,
31-Mar-24,RM 4,9,530,,,,,,
1-Apr-24,RM 4,23,507,,,,,,
2-Apr-24,RM 4,14,493,,,,,,
3-Apr-24,RM 4,18,475,,,,,,
4-Apr-24,RM 4,9,466,,,,,,
5-Apr-24,RM 4,13,453,,,,,,
6-Apr-24,RM 4,14,439,,,,,,
7-Apr-24,RM 4,8,431,,,,,,
8-Apr-24,RM 4,12,419,,,,,,
9-Apr-24,RM 4,4,415,,,,,,
10-Apr-24,RM 4,3,412,,,,,,
11-Apr-24,RM 4,11,401,,,,,,
12-Apr-24,RM 4,0,401,,,,,,
13-Apr-24,RM 4,9,392,,,,,,
14-Apr-24,RM 4,14,378,,,,,,
15-Apr-24,RM 4,2,376,,,,,,
16-Apr-24,RM 4,9,367,,,,,,
17-Apr-24,RM 4,5,362,,,,,,
18-Apr-24,RM 4,19,343,,,,,,
19-Apr-24,RM 4,11,332,,,,,,
20-Apr-24,RM 4,8,324,,,,,,
21-Apr-24,RM 4,10,314,,,,,,
22-Apr-24,RM 4,6,308,,,,,,
5-May-24,RM 4,1,953,,,,,,
6-May-24,RM 4,18,935,,,,,,
7-May-24,RM 4,22,913,,,,,,
8-May-24,RM 4,12,901,,,,,,
9-May-24,RM 4,9,892,,,,,,
10-May-24,RM 4,14,878,,,,,,
11-May-24,RM 4,10,868,,,,,,
12-May-24,RM 4,17,851,,,,,,
13-May-24,RM 4,13,838,,,,,,
14-May-24,RM 4,15,823,,,,,,
15-May-24,RM 4,11,812,,,,,,
16-May-24,RM 4,17,795,,,,,,
17-May-24,RM 4,1,794,,,,,,
18-May-24,RM 4,2,792,,,,,,
19-May-24,RM 4,2,790,,,,,,
20-May-24,RM 4,15,775,,,,,,
21-May-24,RM 4,4,771,,,,,,
22-May-24,RM 4,4,767,,,,,,
23-May-24,RM 4,21,746,,,,,,
24-May-24,RM 4,2,744,,,,,,
25-May-24,RM 4,12,732,,,,,,
26-May-24,RM 4,1,731,,,,,,
27-May-24,RM 4,12,719,,,,,,
28-May-24,RM 4,16,703,,,,,,
29-May-24,RM 4,1,702,,,,,,
30-May-24,RM 4,5,697,,,,,,
31-May-24,RM 4,13,684,,,,,,
1-Jun-24,RM 4,17,667,,,,,,
2-Jun-24,RM 4,1,666,,,,,,
3-Jun-24,RM 4,11,655,,,,,,
4-Jun-24,RM 4,15,640,,,,,,
5-Jun-24,RM 4,10,630,,,,,,
6-Jun-24,RM 4,14,616,,,,,,
7-Jun-24,RM 4,9,607,,,,,,
8-Jun-24,RM 4,8,599,,,,,,
9-Jun-24,RM 4,9,590,,,,,,
10-Jun-24,RM 4,16,574,,,,,,
11-Jun-24,RM 4,4,570,,,,,,
12-Jun-24,RM 4,2,568,,,,,,
13-Jun-24,RM 4,20,548,,,,,,
14-Jun-24,RM 4,20,528,,,,,,
15-Jun-24,RM 4,10,518,,,,,,
16-Jun-24,RM 4,7,511,,,,,,
17-Jun-24,RM 4,4,507,,,,,,
18-Jun-24,RM 4,13,494,,,,,,
19-Jun-24,RM 4,6,488,,,,,,
20-Jun-24,RM 4,7,481,,,,,,
21-Jun-24,RM 4,18,463,,,,,,
22-Jun-24,RM 4,21,442,,,,,,
23-Jun-24,RM 4,10,432,,,,,,
24-Jun-24,RM 4,14,418,,,,,,
25-Jun-24,RM 4,2,416,,,,,,
26-Jun-24,RM 4,12,404,,,,,,
27-Jun-24,RM 4,15,389,,,,,,
28-Jun-24,RM 4,0,389,,,,,,
29-Jun-24,RM 4,18,371,,,,,,
30-Jun-24,RM 4,13,358,,,,,,
1-Jul-24,RM 4,6,352,,,,,,
2-Jul-24,RM 4,13,339,,,,,,
3-Jul-24,RM 4,15,324,,,,,,
4-Jul-24,RM 4,13,311,,,,,,
19-Jul-24,RM 4,9,938,,,,,,
20-Jul-24,RM 4,23,915,,,,,,
21-Jul-24,RM 4,19,896,,,,,,
22-Jul-24,RM 4,1,895,,,,,,
23-Jul-24,RM 4,1,894,,,,,,
24-Jul-24,RM 4,10,884,,,,,,
25-Jul-24,RM 4,0,884,,,,,,
26-Jul-24,RM 4,2,882,,,,,,
27-Jul-24,RM 4,11,871,,,,,,
28-Jul-24,RM 4,0,871,,,,,,
29-Jul-24,RM 4,19,852,,,,,,
30-Jul-24,RM 4,0,852,,,,,,
31-Jul-24,RM 4,4,848,,,,,,
1-Aug-24,RM 4,15,833,,,,,,
2-Aug-24,RM 4,17,816,,,,,,
3-Aug-24,RM 4,11,805,,,,,,
4-Aug-24,RM 4,4,801,,,,,,
5-Aug-24,RM 4,11,790,,,,,,
6-Aug-24,RM 4,11,779,,,,,,
7-Aug-24,RM 4,8,771,,,,,,
8-Aug-24,RM 4,12,759,,,,,,
9-Aug-24,RM 4,20,739,,,,,,
10-Aug-24,RM 4,17,722,,,,,,
11-Aug-24,RM 4,14,708,,,,,,
12-Aug-24,RM 4,2,706,,,,,,
13-Aug-24,RM 4,17,689,,,,,,
14-Aug-24,RM 4,16,673,,,,,,
15-Aug-24,RM 4,18,655,,,,,,
16-Aug-24,RM 4,12,643,,,,,,
17-Aug-24,RM 4,24,619,,,,,,
18-Aug-24,RM 4,13,606,,,,,,
19-Aug-24,RM 4,21,585,,,,,,
20-Aug-24,RM 4,1,584,,,,,,
21-Aug-24,RM 4,8,576,,,,,,
22-Aug-24,RM 4,19,557,,,,,,
23-Aug-24,RM 4,13,544,,,,,,
24-Aug-24,RM 4,1,543,,,,,,
25-Aug-24,RM 4,9,534,,,,,,
26-Aug-24,RM 4,15,519,,,,,,
27-Aug-24,RM 4,17,502,,,,,,
28-Aug-24,RM 4,0,502,,,,,,
29-Aug-24,RM 4,7,495,,,,,,
30-Aug-24,RM 4,13,482,,,,,,
31-Aug-24,RM 4,0,482,,,,,,
1-Sep-24,RM 4,2,480,,,,,,
2-Sep-24,RM 4,5,475,,,,,,
3-Sep-24,RM 4,2,473,,,,,,
4-Sep-24,RM 4,2,471,,,,,,
5-Sep-24,RM 4,0,471,,,,,,
6-Sep-24,RM 4,15,456,,,,,,
7-Sep-24,RM 4,20,436,,,,,,
8-Sep-24,RM 4,16,420,,,,,,
9-Sep-24,RM 4,3,417,,,,,,
10-Sep-24,RM 4,18,399,,,,,,
11-Sep-24,RM 4,10,389,,,,,,
12-Sep-24,RM 4,21,368,,,,,,
13-Sep-24,RM 4,29,339,,,,,,
14-Sep-24,RM 4,21,318,,,,,,
15-Sep-24,RM 4,14,304,,,,,,
22-Sep-24,RM 4,15,762,,,,,,
23-Sep-24,RM 4,27,735,,,,,,
24-Sep-24,RM 4,11,724,,,,,,
25-Sep-24,RM 4,15,709,,,,,,
26-Sep-24,RM 4,15,694,,,,,,
27-Sep-24,RM 4,10,684,,,,,,
28-Sep-24,RM 4,1,683,,,,,,
29-Sep-24,RM 4,12,671,,,,,,
30-Sep-24,RM 4,5,666,,,,,,
1-Oct-24,RM 4,17,649,,,,,,
2-Oct-24,RM 4,11,638,,,,,,
3-Oct-24,RM 4,22,616,,,,,,
4-Oct-24,RM 4,5,611,,,,,,
5-Oct-24,RM 4,6,605,,,,,,
6-Oct-24,RM 4,18,587,,,,,,
7-Oct-24,RM 4,17,570,,,,,,
8-Oct-24,RM 4,17,553,,,,,,
9-Oct-24,RM 4,10,543,,,,,,
10-Oct-24,RM 4,21,522,,,,,,
11-Oct-24,RM 4,6,516,,,,,,
12-Oct-24,RM 4,12,504,,,,,,
13-Oct-24,RM 4,17,487,,,,,,
14-Oct-24,RM 4,16,471,,,,,,
15-Oct-24,RM 4,24,447,,,,,,
16-Oct-24,RM 4,15,432,,,,,,
17-Oct-24,RM 4,13,419,,,,,,
18-Oct-24,RM 4,10,409,,,,,,
19-Oct-24,RM 4,0,409,,,,,,
20-Oct-24,RM 4,16,393,,,,,,
21-Oct-24,RM 4,10,383,,,,,,
22-Oct-24,RM 4,15,368,,,,,,
23-Oct-24,RM 4,19,349,,,,,,
24-Oct-24,RM 4,1,348,,,,,,
25-Oct-24,RM 4,15,333,,,,,,
26-Oct-24,RM 4,7,326,,,,,,
27-Oct-24,RM 4,18,308,,,,,,
11-Nov-24,RM 4,9,806,,,,,,
12-Nov-24,RM 4,15,791,,,,,,
13-Nov-24,RM 4,9,782,,,,,,
14-Nov-24,RM 4,23,759,,,,,,
15-Nov-24,RM 4,3,756,,,,,,
16-Nov-24,RM 4,4,752,,,,,,
17-Nov-24,RM 4,18,734,,,,,,
18-Nov-24,RM 4,14,720,,,,,,
19-Nov-24,RM 4,5,715,,,,,,
20-Nov-24,RM 4,3,712,,,,,,
21-Nov-24,RM 4,6,706,,,,,,
22-Nov-24,RM 4,16,690,,,,,,
23-Nov-24,RM 4,6,684,,,,,,
24-Nov-24,RM 4,16,668,,,,,,
25-Nov-24,RM 4,10,658,,,,,,
26-Nov-24,RM 4,10,648,,,,,,
27-Nov-24,RM 4,13,635,,,,,,
28-Nov-24,RM 4,3,632,,,,,,
29-Nov-24,RM 4,7,625,,,,,,
30-Nov-24,RM 4,15,610,,,,,,
1-Dec-24,RM 4,16,594,,,,,,
2-Dec-24,RM 4,1,593,,,,,,
3-Dec-24,RM 4,26,567,,,,,,
4-Dec-24,RM 4,12,555,,,,,,
5-Dec-24,RM 4,14,541,,,,,,
6-Dec-24,RM 4,8,533,,,,,,
7-Dec-24,RM 4,10,523,,,,,,
8-Dec-24,RM 4,14,509,,,,,,
9-Dec-24,RM 4,12,497,,,,,,
10-Dec-24,RM 4,14,483,,,,,,
11-Dec-24,RM 4,11,472,,,,,,
12-Dec-24,RM 4,4,468,,,,,,
13-Dec-24,RM 4,13,455,,,,,,
14-Dec-24,RM 4,11,444,,,,,,
15-Dec-24,RM 4,10,434,,,,,,
16-Dec-24,RM 4,10,424,,,,,,
17-Dec-24,RM 4,11,413,,,,,,
18-Dec-24,RM 4,12,401,,,,,,
19-Dec-24,RM 4,3,398,,,,,,
20-Dec-24,RM 4,18,380,,,,,,
21-Dec-24,RM 4,18,362,,,,,,
22-Dec-24,RM 4,22,340,,,,,,
23-Dec-24,RM 4,6,334,,,,,,
24-Dec-24,RM 4,28,306,,,,,,
1-Jan-22,RM 5,9,862,,,,,,
2-Jan-22,RM 5,17,845,,,,,,
3-Jan-22,RM 5,0,845,,,,,,
4-Jan-22,RM 5,8,837,,,,,,
5-Jan-22,RM 5,0,837,,,,,,
6-Jan-22,RM 5,9,828,,,,,,
7-Jan-22,RM 5,19,809,,,,,,
8-Jan-22,RM 5,16,793,,,,,,
9-Jan-22,RM 5,4,789,,,,,,
10-Jan-22,RM 5,21,768,,,,,,
11-Jan-22,RM 5,18,750,,,,,,
12-Jan-22,RM 5,11,739,,,,,,
13-Jan-22,RM 5,13,726,,,,,,
14-Jan-22,RM 5,9,717,,,,,,
15-Jan-22,RM 5,2,715,,,,,,
16-Jan-22,RM 5,18,697,,,,,,
17-Jan-22,RM 5,8,689,,,,,,
18-Jan-22,RM 5,11,678,,,,,,
19-Jan-22,RM 5,14,664,,,,,,
20-Jan-22,RM 5,18,646,,,,,,
21-Jan-22,RM 5,9,637,,,,,,
22-Jan-22,RM 5,0,637,,,,,,
23-Jan-22,RM 5,16,621,,,,,,
24-Jan-22,RM 5,2,619,,,,,,
25-Jan-22,RM 5,8,611,,,,,,
26-Jan-22,RM 5,16,595,,,,,,
27-Jan-22,RM 5,0,595,,,,,,
28-Jan-22,RM 5,5,590,,,,,,
29-Jan-22,RM 5,3,587,,,,,,
30-Jan-22,RM 5,36,551,,,,,,
31-Jan-22,RM 5,5,546,,,,,,
1-Feb-22,RM 5,14,532,,,,,,
2-Feb-22,RM 5,16,516,,,,,,
3-Feb-22,RM 5,12,504,,,,,,
4-Feb-22,RM 5,7,497,,,,,,
5-Feb-22,RM 5,11,486,,,,,,
6-Feb-22,RM 5,15,471,,,,,,
7-Feb-22,RM 5,18,453,,,,,,
8-Feb-22,RM 5,15,438,,,,,,
9-Feb-22,RM 5,1,437,,,,,,
10-Feb-22,RM 5,18,419,,,,,,
11-Feb-22,RM 5,3,416,,,,,,
12-Feb-22,RM 5,23,393,,,,,,
13-Feb-22,RM 5,20,373,,,,,,
14-Feb-22,RM 5,12,361,,,,,,
15-Feb-22,RM 5,7,354,,,,,,
16-Feb-22,RM 5,1,353,,,,,,
17-Feb-22,RM 5,15,338,,,,,,
18-Feb-22,RM 5,2,336,,,,,,
19-Feb-22,RM 5,19,317,,,,,,
20-Feb-22,RM 5,16,301,,,,,,
9-Mar-22,RM 5,12,915,,,,,,
10-Mar-22,RM 5,13,902,,,,,,
11-Mar-22,RM 5,12,890,,,,,,
12-Mar-22,RM 5,6,884,,,,,,
13-Mar-22,RM 5,11,873,,,,,,
14-Mar-22,RM 5,20,853,,,,,,
15-Mar-22,RM 5,12,841,,,,,,
16-Mar-22,RM 5,12,829,,,,,,
17-Mar-22,RM 5,15,814,,,,,,
18-Mar-22,RM 5,15,799,,,,,,
19-Mar-22,RM 5,13,786,,,,,,
20-Mar-22,RM 5,22,764,,,,,,
21-Mar-22,RM 5,30,734,,,,,,
22-Mar-22,RM 5,0,734,,,,,,
23-Mar-22,RM 5,23,711,,,,,,
24-Mar-22,RM 5,22,689,,,,,,
25-Mar-22,RM 5,24,665,,,,,,
26-Mar-22,RM 5,11,654,,,,,,
27-Mar-22,RM 5,11,643,,,,,,
28-Mar-22,RM 5,10,633,,,,,,
29-Mar-22,RM 5,10,623,,,,,,
30-Mar-22,RM 5,18,605,,,,,,
31-Mar-22,RM 5,0,605,,,,,,
1-Apr-22,RM 5,12,593,,,,,,
2-Apr-22,RM 5,10,583,,,,,,
3-Apr-22,RM 5,10,573,,,,,,
4-Apr-22,RM 5,5,568,,,,,,
5-Apr-22,RM 5,8,560,,,,,,
6-Apr-22,RM 5,9,551,,,,,,
7-Apr-22,RM 5,8,543,,,,,,
8-Apr-22,RM 5,10,533,,,,,,
9-Apr-22,RM 5,2,531,,,,,,
10-Apr-22,RM 5,26,505,,,,,,
11-Apr-22,RM 5,22,483,,,,,,
12-Apr-22,RM 5,7,476,,,,,,
13-Apr-22,RM 5,16,460,,,,,,
14-Apr-22,RM 5,19,441,,,,,,
15-Apr-22,RM 5,3,438,,,,,,
16-Apr-22,RM 5,32,406,,,,,,
17-Apr-22,RM 5,6,400,,,,,,
18-Apr-22,RM 5,11,389,,,,,,
19-Apr-22,RM 5,10,379,,,,,,
20-Apr-22,RM 5,11,368,,,,,,
21-Apr-22,RM 5,14,354,,,,,,
22-Apr-22,RM 5,4,350,,,,,,
23-Apr-22,RM 5,4,346,,,,,,
24-Apr-22,RM 5,7,339,,,,,,
25-Apr-22,RM 5,10,329,,,,,,
26-Apr-22,RM 5,3,326,,,,,,
27-Apr-22,RM 5,23,303,,,,,,
11-May-22,RM 5,10,877,,,,,,
12-May-22,RM 5,11,866,,,,,,
13-May-22,RM 5,17,849,,,,,,
14-May-22,RM 5,4,845,,,,,,
15-May-22,RM 5,1,844,,,,,,
16-May-22,RM 5,0,844,,,,,,
17-May-22,RM 5,3,841,,,,,,
18-May-22,RM 5,9,832,,,,,,
19-May-22,RM 5,22,810,,,,,,
20-May-22,RM 5,18,792,,,,,,
21-May-22,RM 5,12,780,,,,,,
22-May-22,RM 5,16,764,,,,,,
23-May-22,RM 5,4,760,,,,,,
24-May-22,RM 5,7,753,,,,,,
25-May-22,RM 5,12,741,,,,,,
26-May-22,RM 5,17,724,,,,,,
27-May-22,RM 5,8,716,,,,,,
28-May-22,RM 5,6,710,,,,,,
29-May-22,RM 5,4,706,,,,,,
30-May-22,RM 5,2,704,,,,,,
31-May-22,RM 5,19,685,,,,,,
1-Jun-22,RM 5,18,667,,,,,,
2-Jun-22,RM 5,15,652,,,,,,
3-Jun-22,RM 5,0,652,,,,,,
4-Jun-22,RM 5,1,651,,,,,,
5-Jun-22,RM 5,5,646,,,,,,
6-Jun-22,RM 5,13,633,,,,,,
7-Jun-22,RM 5,20,613,,,,,,
8-Jun-22,RM 5,4,609,,,,,,
9-Jun-22,RM 5,6,603,,,,,,
10-Jun-22,RM 5,16,587,,,,,,
11-Jun-22,RM 5,6,581,,,,,,
12-Jun-22,RM 5,6,575,,,,,,
13-Jun-22,RM 5,8,567,,,,,,
14-Jun-22,RM 5,10,557,,,,,,
15-Jun-22,RM 5,13,544,,,,,,
16-Jun-22,RM 5,9,535,,,,,,
17-Jun-22,RM 5,7,528,,,,,,
18-Jun-22,RM 5,17,511,,,,,,
19-Jun-22,RM 5,17,494,,,,,,
20-Jun-22,RM 5,18,476,,,,,,
21-Jun-22,RM 5,6,470,,,,,,
22-Jun-22,RM 5,16,454,,,,,,
23-Jun-22,RM 5,1,453,,,,,,
24-Jun-22,RM 5,12,441,,,,,,
25-Jun-22,RM 5,7,434,,,,,,
26-Jun-22,RM 5,23,411,,,,,,
27-Jun-22,RM 5,8,403,,,,,,
28-Jun-22,RM 5,8,395,,,,,,
29-Jun-22,RM 5,1,394,,,,,,
30-Jun-22,RM 5,9,385,,,,,,
1-Jul-22,RM 5,10,375,,,,,,
2-Jul-22,RM 5,11,364,,,,,,
3-Jul-22,RM 5,6,358,,,,,,
4-Jul-22,RM 5,20,338,,,,,,
5-Jul-22,RM 5,14,324,,,,,,
6-Jul-22,RM 5,12,312,,,,,,
7-Jul-22,RM 5,12,300,,,,,,
26-Jul-22,RM 5,6,1068,,,,,,
27-Jul-22,RM 5,0,1068,,,,,,
28-Jul-22,RM 5,6,1062,,,,,,
29-Jul-22,RM 5,14,1048,,,,,,
30-Jul-22,RM 5,21,1027,,,,,,
31-Jul-22,RM 5,4,1023,,,,,,
1-Aug-22,RM 5,16,1007,,,,,,
2-Aug-22,RM 5,13,994,,,,,,
3-Aug-22,RM 5,15,979,,,,,,
4-Aug-22,RM 5,5,974,,,,,,
5-Aug-22,RM 5,13,961,,,,,,
6-Aug-22,RM 5,14,947,,,,,,
7-Aug-22,RM 5,10,937,,,,,,
8-Aug-22,RM 5,19,918,,,,,,
9-Aug-22,RM 5,2,916,,,,,,
10-Aug-22,RM 5,11,905,,,,,,
11-Aug-22,RM 5,0,905,,,,,,
12-Aug-22,RM 5,10,895,,,,,,
13-Aug-22,RM 5,3,892,,,,,,
14-Aug-22,RM 5,8,884,,,,,,
15-Aug-22,RM 5,0,884,,,,,,
16-Aug-22,RM 5,9,875,,,,,,
17-Aug-22,RM 5,17,858,,,,,,
18-Aug-22,RM 5,18,840,,,,,,
19-Aug-22,RM 5,10,830,,,,,,
20-Aug-22,RM 5,15,815,,,,,,
21-Aug-22,RM 5,11,804,,,,,,
22-Aug-22,RM 5,13,791,,,,,,
23-Aug-22,RM 5,9,782,,,,,,
24-Aug-22,RM 5,25,757,,,,,,
25-Aug-22,RM 5,15,742,,,,,,
26-Aug-22,RM 5,16,726,,,,,,
27-Aug-22,RM 5,10,716,,,,,,
28-Aug-22,RM 5,17,699,,,,,,
29-Aug-22,RM 5,11,688,,,,,,
30-Aug-22,RM 5,10,678,,,,,,
31-Aug-22,RM 5,18,660,,,,,,
1-Sep-22,RM 5,29,631,,,,,,
2-Sep-22,RM 5,7,624,,,,,,
3-Sep-22,RM 5,6,618,,,,,,
4-Sep-22,RM 5,3,615,,,,,,
5-Sep-22,RM 5,4,611,,,,,,
6-Sep-22,RM 5,28,583,,,,,,
7-Sep-22,RM 5,5,578,,,,,,
8-Sep-22,RM 5,10,568,,,,,,
9-Sep-22,RM 5,16,552,,,,,,
10-Sep-22,RM 5,10,542,,,,,,
11-Sep-22,RM 5,10,532,,,,,,
12-Sep-22,RM 5,0,532,,,,,,
13-Sep-22,RM 5,22,510,,,,,,
14-Sep-22,RM 5,9,501,,,,,,
15-Sep-22,RM 5,14,487,,,,,,
16-Sep-22,RM 5,18,469,,,,,,
17-Sep-22,RM 5,16,453,,,,,,
18-Sep-22,RM 5,4,449,,,,,,
19-Sep-22,RM 5,15,434,,,,,,
20-Sep-22,RM 5,5,429,,,,,,
21-Sep-22,RM 5,14,415,,,,,,
22-Sep-22,RM 5,0,415,,,,,,
23-Sep-22,RM 5,2,413,,,,,,
24-Sep-22,RM 5,12,401,,,,,,
25-Sep-22,RM 5,5,396,,,,,,
26-Sep-22,RM 5,10,386,,,,,,
27-Sep-22,RM 5,11,375,,,,,,
28-Sep-22,RM 5,17,358,,,,,,
29-Sep-22,RM 5,18,340,,,,,,
30-Sep-22,RM 5,19,321,,,,,,
1-Oct-22,RM 5,8,313,,,,,,
12-Oct-22,RM 5,15,1006,,,,,,
13-Oct-22,RM 5,12,994,,,,,,
14-Oct-22,RM 5,4,990,,,,,,
15-Oct-22,RM 5,12,978,,,,,,
16-Oct-22,RM 5,8,970,,,,,,
17-Oct-22,RM 5,9,961,,,,,,
18-Oct-22,RM 5,9,952,,,,,,
19-Oct-22,RM 5,15,937,,,,,,
20-Oct-22,RM 5,19,918,,,,,,
21-Oct-22,RM 5,21,897,,,,,,
22-Oct-22,RM 5,0,897,,,,,,
23-Oct-22,RM 5,8,889,,,,,,
24-Oct-22,RM 5,9,880,,,,,,
25-Oct-22,RM 5,2,878,,,,,,
26-Oct-22,RM 5,10,868,,,,,,
27-Oct-22,RM 5,9,859,,,,,,
28-Oct-22,RM 5,10,849,,,,,,
29-Oct-22,RM 5,5,844,,,,,,
30-Oct-22,RM 5,11,833,,,,,,
31-Oct-22,RM 5,17,816,,,,,,
1-Nov-22,RM 5,8,808,,,,,,
2-Nov-22,RM 5,11,797,,,,,,
3-Nov-22,RM 5,16,781,,,,,,
4-Nov-22,RM 5,13,768,,,,,,
5-Nov-22,RM 5,31,737,,,,,,
6-Nov-22,RM 5,10,727,,,,,,
7-Nov-22,RM 5,7,720,,,,,,
8-Nov-22,RM 5,3,717,,,,,,
9-Nov-22,RM 5,0,717,,,,,,
10-Nov-22,RM 5,20,697,,,,,,
11-Nov-22,RM 5,14,683,,,,,,
12-Nov-22,RM 5,14,669,,,,,,
13-Nov-22,RM 5,11,658,,,,,,
14-Nov-22,RM 5,9,649,,,,,,
15-Nov-22,RM 5,9,640,,,,,,
16-Nov-22,RM 5,0,640,,,,,,
17-Nov-22,RM 5,10,630,,,,,,
18-Nov-22,RM 5,3,627,,,,,,
19-Nov-22,RM 5,16,611,,,,,,
20-Nov-22,RM 5,24,587,,,,,,
21-Nov-22,RM 5,17,570,,,,,,
22-Nov-22,RM 5,18,552,,,,,,
23-Nov-22,RM 5,3,549,,,,,,
24-Nov-22,RM 5,0,549,,,,,,
25-Nov-22,RM 5,5,544,,,,,,
26-Nov-22,RM 5,12,532,,,,,,
27-Nov-22,RM 5,13,519,,,,,,
28-Nov-22,RM 5,3,516,,,,,,
29-Nov-22,RM 5,16,500,,,,,,
30-Nov-22,RM 5,6,494,,,,,,
1-Dec-22,RM 5,13,481,,,,,,
2-Dec-22,RM 5,13,468,,,,,,
3-Dec-22,RM 5,4,464,,,,,,
4-Dec-22,RM 5,7,457,,,,,,
5-Dec-22,RM 5,4,453,,,,,,
6-Dec-22,RM 5,9,444,,,,,,
7-Dec-22,RM 5,11,433,,,,,,
8-Dec-22,RM 5,3,430,,,,,,
9-Dec-22,RM 5,1,429,,,,,,
10-Dec-22,RM 5,10,419,,,,,,
11-Dec-22,RM 5,13,406,,,,,,
12-Dec-22,RM 5,17,389,,,,,,
13-Dec-22,RM 5,10,379,,,,,,
