Finacial Year,Quarter,Sum of QTY,SKU,Depot
2021-2022,Qtr 1,4680,SKU-002,Depot 15
2021-2022,Qtr 2,2900,SKU-002,Depot 15
2021-2022,Qtr 3,9080,SKU-002,Depot 15
2021-2022,Qtr 4,5740,SKU-002,Depot 15
2021-2022,Qtr 1,34450,SKU-002,Depot 16
2021-2022,Qtr 2,16137,SKU-002,Depot 16
2021-2022,Qtr 3,34384,SKU-002,Depot 16
2021-2022,Qtr 4,26873,SKU-002,Depot 16
2021-2022,Qtr 1,45901,SKU-002,Depot 17
2021-2022,Qtr 2,15140,SKU-002,Depot 17
2021-2022,Qtr 3,37660,SKU-002,Depot 17
2021-2022,Qtr 4,40740,SKU-002,Depot 17
2021-2022,Qtr 1,1880,SKU-003,Depot 01
2021-2022,Qtr 2,1200,SKU-003,Depot 01
2021-2022,Qtr 3,1240,SKU-003,Depot 01
2021-2022,Qtr 4,1640,SKU-003,Depot 01
2022-2023,Qtr 1,3440,SKU-003,Depot 01
2022-2023,Qtr 2,2620,SKU-003,Depot 01
2022-2023,Qtr 3,3120,SKU-003,Depot 01
2022-2023,Qtr 4,2540,SKU-003,Depot 01
2023-2024,Qtr 1,3240,SKU-003,Depot 01
2023-2024,Qtr 2,5640,SKU-003,Depot 01
2023-2024,Qtr 3,14040,SKU-003,Depot 01
2023-2024,Qtr 4,2880,SKU-003,Depot 01
2024-2025,Qtr 2,6440,SKU-003,Depot 01
2024-2025,Qtr 3,3280,SKU-003,Depot 01
2024-2025,Qtr 4,2660,SKU-003,Depot 01
2021-2022,Qtr 1,7480,SKU-003,Depot 02
2021-2022,Qtr 2,10680,SKU-003,Depot 02
2021-2022,Qtr 3,21480,SKU-003,Depot 02
2021-2022,Qtr 4,15950,SKU-003,Depot 02
2022-2023,Qtr 1,4200,SKU-003,Depot 02
2022-2023,Qtr 2,29760,SKU-003,Depot 02
2022-2023,Qtr 3,10000,SKU-003,Depot 02
2022-2023,Qtr 4,4640,SKU-003,Depot 02
2023-2024,Qtr 1,6080,SKU-003,Depot 02
2023-2024,Qtr 2,19480,SKU-003,Depot 02
2023-2024,Qtr 3,24120,SKU-003,Depot 02
2023-2024,Qtr 4,10120,SKU-003,Depot 02
2024-2025,Qtr 2,25240,SKU-003,Depot 02
2024-2025,Qtr 3,17920,SKU-003,Depot 02
2024-2025,Qtr 4,10838,SKU-003,Depot 02
2021-2022,Qtr 1,1240,SKU-003,Depot 04
2021-2022,Qtr 2,2040,SKU-003,Depot 04
2021-2022,Qtr 3,6160,SKU-003,Depot 04
2021-2022,Qtr 4,9560,SKU-003,Depot 04
2022-2023,Qtr 1,2000,SKU-003,Depot 04
2022-2023,Qtr 2,7240,SKU-003,Depot 04
2022-2023,Qtr 3,3160,SKU-003,Depot 04
2022-2023,Qtr 4,2600,SKU-003,Depot 04
2023-2024,Qtr 1,2720,SKU-003,Depot 04
2023-2024,Qtr 2,5360,SKU-003,Depot 04
2023-2024,Qtr 3,10600,SKU-003,Depot 04
2023-2024,Qtr 4,6000,SKU-003,Depot 04
2024-2025,Qtr 2,4600,SKU-003,Depot 04
2024-2025,Qtr 3,4840,SKU-003,Depot 04
2024-2025,Qtr 4,7640,SKU-003,Depot 04
2021-2022,Qtr 1,3600,SKU-003,Depot 06
2021-2022,Qtr 2,2640,SKU-003,Depot 06
2021-2022,Qtr 3,3960,SKU-003,Depot 06
2021-2022,Qtr 4,1960,SKU-003,Depot 06
2022-2023,Qtr 1,1440,SKU-003,Depot 06
2022-2023,Qtr 2,6750,SKU-003,Depot 06
2022-2023,Qtr 3,8510,SKU-003,Depot 06
2022-2023,Qtr 4,4020,SKU-003,Depot 06
2023-2024,Qtr 1,1020,SKU-003,Depot 06
2023-2024,Qtr 2,2280,SKU-003,Depot 06
2023-2024,Qtr 3,3320,SKU-003,Depot 06
2023-2024,Qtr 4,1080,SKU-003,Depot 06
2024-2025,Qtr 2,4240,SKU-003,Depot 06
2024-2025,Qtr 3,3920,SKU-003,Depot 06
2024-2025,Qtr 4,3280,SKU-003,Depot 06
2021-2022,Qtr 1,6480,SKU-003,Depot 07
2021-2022,Qtr 2,13480,SKU-003,Depot 07
2021-2022,Qtr 3,20400,SKU-003,Depot 07
2021-2022,Qtr 4,3960,SKU-003,Depot 07
2022-2023,Qtr 1,6200,SKU-003,Depot 07
2022-2023,Qtr 2,16320,SKU-003,Depot 07
2022-2023,Qtr 3,18320,SKU-003,Depot 07
2022-2023,Qtr 4,2000,SKU-003,Depot 07
2023-2024,Qtr 1,1520,SKU-003,Depot 07
2023-2024,Qtr 2,27240,SKU-003,Depot 07
2023-2024,Qtr 3,12520,SKU-003,Depot 07
2024-2025,Qtr 2,21600,SKU-003,Depot 07
2024-2025,Qtr 3,11360,SKU-003,Depot 07
2024-2025,Qtr 4,800,SKU-003,Depot 07
2021-2022,Qtr 1,2000,SKU-003,Depot 08
2021-2022,Qtr 2,3480,SKU-003,Depot 08
2021-2022,Qtr 3,3640,SKU-003,Depot 08
2021-2022,Qtr 4,1640,SKU-003,Depot 08
2022-2023,Qtr 1,3760,SKU-003,Depot 08
2022-2023,Qtr 2,10560,SKU-003,Depot 08
2022-2023,Qtr 3,8240,SKU-003,Depot 08
2022-2023,Qtr 4,640,SKU-003,Depot 08
2023-2024,Qtr 1,2800,SKU-003,Depot 08
2023-2024,Qtr 2,16320,SKU-003,Depot 08
2023-2024,Qtr 3,8360,SKU-003,Depot 08
2023-2024,Qtr 4,2880,SKU-003,Depot 08
2024-2025,Qtr 2,9520,SKU-003,Depot 08
2024-2025,Qtr 3,8120,SKU-003,Depot 08
2024-2025,Qtr 4,3040,SKU-003,Depot 08
2021-2022,Qtr 1,12240,SKU-003,Depot 09
2021-2022,Qtr 2,3570,SKU-003,Depot 09
2021-2022,Qtr 3,5680,SKU-003,Depot 09
2021-2022,Qtr 4,7320,SKU-003,Depot 09
2022-2023,Qtr 1,10390,SKU-003,Depot 09
2022-2023,Qtr 2,11600,SKU-003,Depot 09
2022-2023,Qtr 3,9340,SKU-003,Depot 09
2022-2023,Qtr 4,3920,SKU-003,Depot 09
2023-2024,Qtr 1,6840,SKU-003,Depot 09
2023-2024,Qtr 2,10640,SKU-003,Depot 09
2023-2024,Qtr 3,10880,SKU-003,Depot 09
2023-2024,Qtr 4,3720,SKU-003,Depot 09
2024-2025,Qtr 2,4880,SKU-003,Depot 09
2024-2025,Qtr 3,11680,SKU-003,Depot 09
2024-2025,Qtr 4,10080,SKU-003,Depot 09
2021-2022,Qtr 1,1200,SKU-003,Depot 10
2021-2022,Qtr 2,3240,SKU-003,Depot 10
2021-2022,Qtr 3,1250,SKU-003,Depot 10
2021-2022,Qtr 4,3360,SKU-003,Depot 10
2022-2023,Qtr 1,240,SKU-003,Depot 10
2022-2023,Qtr 2,4240,SKU-003,Depot 10
2022-2023,Qtr 3,260,SKU-003,Depot 10
2022-2023,Qtr 4,880,SKU-003,Depot 10
2023-2024,Qtr 1,320,SKU-003,Depot 10
2023-2024,Qtr 2,1080,SKU-003,Depot 10
2023-2024,Qtr 3,1520,SKU-003,Depot 10
2023-2024,Qtr 4,520,SKU-003,Depot 10
2024-2025,Qtr 2,1040,SKU-003,Depot 10
2024-2025,Qtr 3,1120,SKU-003,Depot 10
2024-2025,Qtr 4,2480,SKU-003,Depot 10
2021-2022,Qtr 1,14900,SKU-003,Depot 11
2021-2022,Qtr 2,18990,SKU-003,Depot 11
2021-2022,Qtr 3,30660,SKU-003,Depot 11
2021-2022,Qtr 4,21461,SKU-003,Depot 11
2022-2023,Qtr 1,14800,SKU-003,Depot 11
2022-2023,Qtr 2,44690,SKU-003,Depot 11
2022-2023,Qtr 3,22189,SKU-003,Depot 11
2022-2023,Qtr 4,21760,SKU-003,Depot 11
2023-2024,Qtr 1,28640,SKU-003,Depot 11
2023-2024,Qtr 2,28260,SKU-003,Depot 11
2023-2024,Qtr 3,30640,SKU-003,Depot 11
2023-2024,Qtr 4,9520,SKU-003,Depot 11
2024-2025,Qtr 2,17360,SKU-003,Depot 11
2024-2025,Qtr 3,7980,SKU-003,Depot 11
2024-2025,Qtr 4,9860,SKU-003,Depot 11
2021-2022,Qtr 1,6720,SKU-003,Depot 12
2021-2022,Qtr 2,4740,SKU-003,Depot 12
2021-2022,Qtr 3,13900,SKU-003,Depot 12
2021-2022,Qtr 4,12100,SKU-003,Depot 12
2022-2023,Qtr 1,6880,SKU-003,Depot 12
2022-2023,Qtr 2,12720,SKU-003,Depot 12
2022-2023,Qtr 3,11680,SKU-003,Depot 12
2022-2023,Qtr 4,12960,SKU-003,Depot 12
2023-2024,Qtr 1,9720,SKU-003,Depot 12
2023-2024,Qtr 2,8280,SKU-003,Depot 12
2023-2024,Qtr 3,14920,SKU-003,Depot 12
2023-2024,Qtr 4,11640,SKU-003,Depot 12
2024-2025,Qtr 2,2480,SKU-003,Depot 12
2024-2025,Qtr 3,9040,SKU-003,Depot 12
2024-2025,Qtr 4,15980,SKU-003,Depot 12
2021-2022,Qtr 1,77617,SKU-003,Depot 13
2021-2022,Qtr 2,54684,SKU-003,Depot 13
2021-2022,Qtr 3,143279,SKU-003,Depot 13
2021-2022,Qtr 4,170646,SKU-003,Depot 13
2022-2023,Qtr 1,59966,SKU-003,Depot 13
2022-2023,Qtr 2,161798,SKU-003,Depot 13
2022-2023,Qtr 3,142416,SKU-003,Depot 13
2022-2023,Qtr 4,100595,SKU-003,Depot 13
2023-2024,Qtr 1,104965,SKU-003,Depot 13
2023-2024,Qtr 2,94640,SKU-003,Depot 13
2023-2024,Qtr 3,197660,SKU-003,Depot 13
2023-2024,Qtr 4,68640,SKU-003,Depot 13
2024-2025,Qtr 2,94780,SKU-003,Depot 13
2024-2025,Qtr 3,60250,SKU-003,Depot 13
2024-2025,Qtr 4,76830,SKU-003,Depot 13
2021-2022,Qtr 1,15280,SKU-003,Depot 14
2021-2022,Qtr 2,34870,SKU-003,Depot 14
2021-2022,Qtr 3,39200,SKU-003,Depot 14
2021-2022,Qtr 4,37600,SKU-003,Depot 14
2022-2023,Qtr 1,17370,SKU-003,Depot 14
2022-2023,Qtr 2,60940,SKU-003,Depot 14
2022-2023,Qtr 3,38780,SKU-003,Depot 14
2022-2023,Qtr 4,19000,SKU-003,Depot 14
2023-2024,Qtr 1,19240,SKU-003,Depot 14
2023-2024,Qtr 2,61480,SKU-003,Depot 14
2023-2024,Qtr 3,58760,SKU-003,Depot 14
2023-2024,Qtr 4,13680,SKU-003,Depot 14
2024-2025,Qtr 2,76860,SKU-003,Depot 14
2024-2025,Qtr 3,49320,SKU-003,Depot 14
2024-2025,Qtr 4,17960,SKU-003,Depot 14
2021-2022,Qtr 1,1600,SKU-003,Depot 15
2021-2022,Qtr 2,4240,SKU-003,Depot 15
2021-2022,Qtr 3,4800,SKU-003,Depot 15
2021-2022,Qtr 4,4560,SKU-003,Depot 15
2022-2023,Qtr 1,1960,SKU-003,Depot 15
2022-2023,Qtr 2,32680,SKU-003,Depot 15
2022-2023,Qtr 3,8000,SKU-003,Depot 15
2022-2023,Qtr 4,6240,SKU-003,Depot 15
2023-2024,Qtr 1,1680,SKU-003,Depot 15
2023-2024,Qtr 2,22780,SKU-003,Depot 15
2023-2024,Qtr 3,18600,SKU-003,Depot 15
2023-2024,Qtr 4,400,SKU-003,Depot 15
2024-2025,Qtr 2,32520,SKU-003,Depot 15
2024-2025,Qtr 3,2920,SKU-003,Depot 15
2024-2025,Qtr 4,2640,SKU-003,Depot 15
2021-2022,Qtr 1,6115,SKU-003,Depot 16
2021-2022,Qtr 2,22706,SKU-003,Depot 16
2021-2022,Qtr 3,7065,SKU-003,Depot 16
2021-2022,Qtr 4,5167,SKU-003,Depot 16
2022-2023,Qtr 1,4040,SKU-003,Depot 16
2022-2023,Qtr 2,21470,SKU-003,Depot 16
2022-2023,Qtr 3,10450,SKU-003,Depot 16
2022-2023,Qtr 4,2920,SKU-003,Depot 16
2023-2024,Qtr 1,2280,SKU-003,Depot 16
2023-2024,Qtr 2,32240,SKU-003,Depot 16
2023-2024,Qtr 3,9800,SKU-003,Depot 16
2023-2024,Qtr 4,1400,SKU-003,Depot 16
2024-2025,Qtr 2,29094,SKU-003,Depot 16
2024-2025,Qtr 3,12870,SKU-003,Depot 16
2024-2025,Qtr 4,5280,SKU-003,Depot 16
2021-2022,Qtr 1,17800,SKU-003,Depot 17
2021-2022,Qtr 2,7080,SKU-003,Depot 17
2021-2022,Qtr 3,15620,SKU-003,Depot 17
2021-2022,Qtr 4,25140,SKU-003,Depot 17
2022-2023,Qtr 1,20440,SKU-003,Depot 17
2022-2023,Qtr 2,15260,SKU-003,Depot 17
2022-2023,Qtr 3,14640,SKU-003,Depot 17
2022-2023,Qtr 4,23140,SKU-003,Depot 17
2023-2024,Qtr 1,23240,SKU-003,Depot 17
2023-2024,Qtr 2,21080,SKU-003,Depot 17
2023-2024,Qtr 3,36760,SKU-003,Depot 17
2023-2024,Qtr 4,17720,SKU-003,Depot 17
2024-2025,Qtr 2,14780,SKU-003,Depot 17
2024-2025,Qtr 3,18040,SKU-003,Depot 17
2024-2025,Qtr 4,14740,SKU-003,Depot 17
2021-2022,Qtr 1,15380,SKU-004,Depot 02
2021-2022,Qtr 2,7327,SKU-004,Depot 02
2021-2022,Qtr 3,19160,SKU-004,Depot 02
2021-2022,Qtr 4,19960,SKU-004,Depot 02
2022-2023,Qtr 1,17520,SKU-004,Depot 02
2022-2023,Qtr 2,5920,SKU-004,Depot 02
2022-2023,Qtr 3,13618,SKU-004,Depot 02
2022-2023,Qtr 4,11543,SKU-004,Depot 02
2023-2024,Qtr 1,22040,SKU-004,Depot 02
2023-2024,Qtr 2,9220,SKU-004,Depot 02
2023-2024,Qtr 3,18480,SKU-004,Depot 02
2023-2024,Qtr 4,9350,SKU-004,Depot 02
2024-2025,Qtr 2,10203,SKU-004,Depot 02
2024-2025,Qtr 3,17500,SKU-004,Depot 02
2024-2025,Qtr 4,18396,SKU-004,Depot 02
2021-2022,Qtr 1,7920,SKU-004,Depot 04
2021-2022,Qtr 2,1640,SKU-004,Depot 04
2021-2022,Qtr 3,8480,SKU-004,Depot 04
2021-2022,Qtr 4,5600,SKU-004,Depot 04
2022-2023,Qtr 1,5080,SKU-004,Depot 04
2022-2023,Qtr 2,1120,SKU-004,Depot 04
2022-2023,Qtr 3,1760,SKU-004,Depot 04
2022-2023,Qtr 4,2960,SKU-004,Depot 04
2023-2024,Qtr 1,2240,SKU-004,Depot 04
2023-2024,Qtr 2,3420,SKU-004,Depot 04
2023-2024,Qtr 3,4780,SKU-004,Depot 04
2023-2024,Qtr 4,2720,SKU-004,Depot 04
2024-2025,Qtr 2,2240,SKU-004,Depot 04
2024-2025,Qtr 3,1320,SKU-004,Depot 04
2024-2025,Qtr 4,3340,SKU-004,Depot 04
2021-2022,Qtr 1,7760,SKU-004,Depot 07
2021-2022,Qtr 2,2720,SKU-004,Depot 07
2021-2022,Qtr 3,80,SKU-004,Depot 07
2021-2022,Qtr 4,4640,SKU-004,Depot 07
2022-2023,Qtr 1,5440,SKU-004,Depot 07
2022-2023,Qtr 3,4800,SKU-004,Depot 07
2022-2023,Qtr 4,5600,SKU-004,Depot 07
2023-2024,Qtr 1,8780,SKU-004,Depot 07
2023-2024,Qtr 2,4320,SKU-004,Depot 07
2023-2024,Qtr 3,2000,SKU-004,Depot 07
2023-2024,Qtr 4,3000,SKU-004,Depot 07
2024-2025,Qtr 2,1480,SKU-004,Depot 07
2024-2025,Qtr 3,1740,SKU-004,Depot 07
2024-2025,Qtr 4,1560,SKU-004,Depot 07
2021-2022,Qtr 1,80,SKU-004,Depot 08
2021-2022,Qtr 2,1800,SKU-004,Depot 08
2021-2022,Qtr 3,2720,SKU-004,Depot 08
2021-2022,Qtr 4,200,SKU-004,Depot 08
2022-2023,Qtr 1,400,SKU-004,Depot 08
2022-2023,Qtr 2,1830,SKU-004,Depot 08
2022-2023,Qtr 3,810,SKU-004,Depot 08
2022-2023,Qtr 4,240,SKU-004,Depot 08
2023-2024,Qtr 1,560,SKU-004,Depot 08
2023-2024,Qtr 2,1360,SKU-004,Depot 08
2023-2024,Qtr 3,2040,SKU-004,Depot 08
2023-2024,Qtr 4,1440,SKU-004,Depot 08
2024-2025,Qtr 2,1160,SKU-004,Depot 08
2024-2025,Qtr 3,200,SKU-004,Depot 08
2024-2025,Qtr 4,1400,SKU-004,Depot 08
2021-2022,Qtr 1,80,SKU-004,Depot 10
2021-2022,Qtr 2,480,SKU-004,Depot 10
2021-2022,Qtr 3,800,SKU-004,Depot 10
2021-2022,Qtr 4,40,SKU-004,Depot 10
2022-2023,Qtr 1,800,SKU-004,Depot 10
2022-2023,Qtr 2,360,SKU-004,Depot 10
2022-2023,Qtr 3,80,SKU-004,Depot 10
2022-2023,Qtr 4,280,SKU-004,Depot 10
2023-2024,Qtr 1,40,SKU-004,Depot 10
2023-2024,Qtr 2,240,SKU-004,Depot 10
2023-2024,Qtr 3,400,SKU-004,Depot 10
2023-2024,Qtr 4,440,SKU-004,Depot 10
2024-2025,Qtr 2,160,SKU-004,Depot 10
2024-2025,Qtr 3,80,SKU-004,Depot 10
2024-2025,Qtr 4,560,SKU-004,Depot 10
2021-2022,Qtr 1,13780,SKU-004,Depot 11
2021-2022,Qtr 2,9380,SKU-004,Depot 11
2021-2022,Qtr 3,23480,SKU-004,Depot 11
2021-2022,Qtr 4,15980,SKU-004,Depot 11
2022-2023,Qtr 1,11720,SKU-004,Depot 11
2022-2023,Qtr 2,6360,SKU-004,Depot 11
2022-2023,Qtr 3,13280,SKU-004,Depot 11
2022-2023,Qtr 4,7080,SKU-004,Depot 11
2023-2024,Qtr 1,26950,SKU-004,Depot 11
2023-2024,Qtr 2,3360,SKU-004,Depot 11
2023-2024,Qtr 3,5280,SKU-004,Depot 11
2023-2024,Qtr 4,11720,SKU-004,Depot 11
2024-2025,Qtr 2,19760,SKU-004,Depot 11
2024-2025,Qtr 4,6440,SKU-004,Depot 11
2021-2022,Qtr 1,18170,SKU-004,Depot 13
2021-2022,Qtr 2,8120,SKU-004,Depot 13
2021-2022,Qtr 3,12260,SKU-004,Depot 13
2021-2022,Qtr 4,16019,SKU-004,Depot 13
2022-2023,Qtr 1,7240,SKU-004,Depot 13
2022-2023,Qtr 2,2280,SKU-004,Depot 13
2022-2023,Qtr 3,9650,SKU-004,Depot 13
2022-2023,Qtr 4,12420,SKU-004,Depot 13
2023-2024,Qtr 1,8680,SKU-004,Depot 13
2023-2024,Qtr 2,6040,SKU-004,Depot 13
2023-2024,Qtr 3,4200,SKU-004,Depot 13
2023-2024,Qtr 4,12320,SKU-004,Depot 13
2024-2025,Qtr 2,2120,SKU-004,Depot 13
2024-2025,Qtr 3,3120,SKU-004,Depot 13
2024-2025,Qtr 4,7680,SKU-004,Depot 13
2021-2022,Qtr 1,21086,SKU-004,Depot 14
2021-2022,Qtr 2,8680,SKU-004,Depot 14
2021-2022,Qtr 3,29480,SKU-004,Depot 14
2021-2022,Qtr 4,30320,SKU-004,Depot 14
2022-2023,Qtr 1,40460,SKU-004,Depot 14
2022-2023,Qtr 2,11120,SKU-004,Depot 14
2022-2023,Qtr 3,37920,SKU-004,Depot 14
2022-2023,Qtr 4,28970,SKU-004,Depot 14
2023-2024,Qtr 1,20100,SKU-004,Depot 14
2023-2024,Qtr 2,11440,SKU-004,Depot 14
2023-2024,Qtr 3,23160,SKU-004,Depot 14
2023-2024,Qtr 4,15880,SKU-004,Depot 14
2024-2025,Qtr 2,18240,SKU-004,Depot 14
2024-2025,Qtr 3,11280,SKU-004,Depot 14
2024-2025,Qtr 4,19590,SKU-004,Depot 14
2021-2022,Qtr 1,1160,SKU-004,Depot 15
2021-2022,Qtr 3,680,SKU-004,Depot 15
2021-2022,Qtr 4,880,SKU-004,Depot 15
2022-2023,Qtr 1,2280,SKU-004,Depot 15
2022-2023,Qtr 2,1460,SKU-004,Depot 15
2022-2023,Qtr 3,880,SKU-004,Depot 15
2022-2023,Qtr 4,1360,SKU-004,Depot 15
2023-2024,Qtr 1,1240,SKU-004,Depot 15
2023-2024,Qtr 2,2240,SKU-004,Depot 15
2023-2024,Qtr 3,520,SKU-004,Depot 15
2023-2024,Qtr 4,840,SKU-004,Depot 15
2024-2025,Qtr 2,1400,SKU-004,Depot 15
2024-2025,Qtr 3,6880,SKU-004,Depot 15
2024-2025,Qtr 4,10540,SKU-004,Depot 15
2021-2022,Qtr 1,20560,SKU-004,Depot 16
2021-2022,Qtr 2,7976,SKU-004,Depot 16
2021-2022,Qtr 3,15320,SKU-004,Depot 16
2021-2022,Qtr 4,8093,SKU-004,Depot 16
2022-2023,Qtr 1,9649,SKU-004,Depot 16
2022-2023,Qtr 2,9510,SKU-004,Depot 16
2022-2023,Qtr 3,6053,SKU-004,Depot 16
2022-2023,Qtr 4,15237,SKU-004,Depot 16
2023-2024,Qtr 1,4520,SKU-004,Depot 16
2023-2024,Qtr 2,4840,SKU-004,Depot 16
2023-2024,Qtr 3,12360,SKU-004,Depot 16
2023-2024,Qtr 4,9760,SKU-004,Depot 16
2024-2025,Qtr 2,3651,SKU-004,Depot 16
2024-2025,Qtr 3,16606,SKU-004,Depot 16
2024-2025,Qtr 4,8180,SKU-004,Depot 16
2021-2022,Qtr 1,37560,SKU-004,Depot 17
2021-2022,Qtr 2,8380,SKU-004,Depot 17
2021-2022,Qtr 3,25920,SKU-004,Depot 17
2021-2022,Qtr 4,30460,SKU-004,Depot 17
2022-2023,Qtr 1,37600,SKU-004,Depot 17
2022-2023,Qtr 2,13060,SKU-004,Depot 17
2022-2023,Qtr 3,19980,SKU-004,Depot 17
2022-2023,Qtr 4,35500,SKU-004,Depot 17
2023-2024,Qtr 1,76830,SKU-004,Depot 17
2023-2024,Qtr 2,19280,SKU-004,Depot 17
2023-2024,Qtr 3,13640,SKU-004,Depot 17
2023-2024,Qtr 4,41660,SKU-004,Depot 17
2024-2025,Qtr 2,17600,SKU-004,Depot 17
2024-2025,Qtr 3,22540,SKU-004,Depot 17
2024-2025,Qtr 4,22780,SKU-004,Depot 17
2021-2022,Qtr 1,2080,SKU-005,Depot 01
2021-2022,Qtr 2,640,SKU-005,Depot 01
2021-2022,Qtr 3,4200,SKU-005,Depot 01
2021-2022,Qtr 4,1960,SKU-005,Depot 01
2022-2023,Qtr 1,27440,SKU-005,Depot 01
2022-2023,Qtr 2,1440,SKU-005,Depot 01
2022-2023,Qtr 3,3920,SKU-005,Depot 01
2022-2023,Qtr 4,4480,SKU-005,Depot 01
2023-2024,Qtr 1,10080,SKU-005,Depot 01
2023-2024,Qtr 2,1920,SKU-005,Depot 01
2023-2024,Qtr 3,7320,SKU-005,Depot 01
2023-2024,Qtr 4,7120,SKU-005,Depot 01
2024-2025,Qtr 2,2880,SKU-005,Depot 01
2024-2025,Qtr 3,2080,SKU-005,Depot 01
2024-2025,Qtr 4,3520,SKU-005,Depot 01
2021-2022,Qtr 1,8010,SKU-005,Depot 03
2021-2022,Qtr 2,6340,SKU-005,Depot 03
2021-2022,Qtr 3,12140,SKU-005,Depot 03
2021-2022,Qtr 4,8920,SKU-005,Depot 03
2022-2023,Qtr 1,10920,SKU-005,Depot 03
2022-2023,Qtr 2,2560,SKU-005,Depot 03
2022-2023,Qtr 3,3680,SKU-005,Depot 03
2022-2023,Qtr 4,6220,SKU-005,Depot 03
2023-2024,Qtr 1,6320,SKU-005,Depot 03
2023-2024,Qtr 2,880,SKU-005,Depot 03
2023-2024,Qtr 3,4560,SKU-005,Depot 03
2023-2024,Qtr 4,6720,SKU-005,Depot 03
2024-2025,Qtr 2,1760,SKU-005,Depot 03
2024-2025,Qtr 3,2360,SKU-005,Depot 03
2024-2025,Qtr 4,4320,SKU-005,Depot 03
2021-2022,Qtr 1,15160,SKU-005,Depot 05
2021-2022,Qtr 2,3620,SKU-005,Depot 05
2021-2022,Qtr 3,20920,SKU-005,Depot 05
2021-2022,Qtr 4,16560,SKU-005,Depot 05
2022-2023,Qtr 1,23840,SKU-005,Depot 05
2022-2023,Qtr 2,6040,SKU-005,Depot 05
2022-2023,Qtr 3,12260,SKU-005,Depot 05
2022-2023,Qtr 4,3640,SKU-005,Depot 05
2023-2024,Qtr 1,1240,SKU-005,Depot 05
2023-2024,Qtr 2,4360,SKU-005,Depot 05
2023-2024,Qtr 3,5200,SKU-005,Depot 05
2023-2024,Qtr 4,3080,SKU-005,Depot 05
2024-2025,Qtr 2,1080,SKU-005,Depot 05
2024-2025,Qtr 3,880,SKU-005,Depot 05
2024-2025,Qtr 4,1400,SKU-005,Depot 05
2021-2022,Qtr 1,11280,SKU-005,Depot 06
2021-2022,Qtr 2,2400,SKU-005,Depot 06
2021-2022,Qtr 3,12840,SKU-005,Depot 06
2021-2022,Qtr 4,8160,SKU-005,Depot 06
2022-2023,Qtr 1,27560,SKU-005,Depot 06
2022-2023,Qtr 2,10440,SKU-005,Depot 06
2022-2023,Qtr 3,8160,SKU-005,Depot 06
2022-2023,Qtr 4,6040,SKU-005,Depot 06
2023-2024,Qtr 2,2120,SKU-005,Depot 06
2023-2024,Qtr 3,2880,SKU-005,Depot 06
2023-2024,Qtr 4,6520,SKU-005,Depot 06
2024-2025,Qtr 2,10020,SKU-005,Depot 06
2024-2025,Qtr 3,2140,SKU-005,Depot 06
2024-2025,Qtr 4,2920,SKU-005,Depot 06
2021-2022,Qtr 1,57800,SKU-005,Depot 09
2021-2022,Qtr 2,680,SKU-005,Depot 09
2021-2022,Qtr 3,17250,SKU-005,Depot 09
2021-2022,Qtr 4,11000,SKU-005,Depot 09
2022-2023,Qtr 1,39760,SKU-005,Depot 09
2022-2023,Qtr 2,9720,SKU-005,Depot 09
2022-2023,Qtr 3,36530,SKU-005,Depot 09
2022-2023,Qtr 4,14440,SKU-005,Depot 09
2023-2024,Qtr 1,3980,SKU-005,Depot 09
2023-2024,Qtr 2,2680,SKU-005,Depot 09
2023-2024,Qtr 3,9160,SKU-005,Depot 09
2023-2024,Qtr 4,6840,SKU-005,Depot 09
2024-2025,Qtr 2,540,SKU-005,Depot 09
2024-2025,Qtr 3,3360,SKU-005,Depot 09
2024-2025,Qtr 4,4320,SKU-005,Depot 09
2021-2022,Qtr 1,74840,SKU-005,Depot 12
2021-2022,Qtr 2,31280,SKU-005,Depot 12
2021-2022,Qtr 3,61720,SKU-005,Depot 12
2021-2022,Qtr 4,64520,SKU-005,Depot 12
2022-2023,Qtr 1,169940,SKU-005,Depot 12
2022-2023,Qtr 2,55600,SKU-005,Depot 12
2022-2023,Qtr 3,55920,SKU-005,Depot 12
2022-2023,Qtr 4,85360,SKU-005,Depot 12
2023-2024,Qtr 1,57520,SKU-005,Depot 12
2023-2024,Qtr 2,26040,SKU-005,Depot 12
2023-2024,Qtr 3,42260,SKU-005,Depot 12
2023-2024,Qtr 4,76240,SKU-005,Depot 12
2024-2025,Qtr 2,20340,SKU-005,Depot 12
2024-2025,Qtr 3,27120,SKU-005,Depot 12
2024-2025,Qtr 4,39960,SKU-005,Depot 12
2021-2022,Qtr 1,16560,SKU-005,Depot 14
2021-2022,Qtr 2,12250,SKU-005,Depot 14
2021-2022,Qtr 3,32680,SKU-005,Depot 14
2021-2022,Qtr 4,23120,SKU-005,Depot 14
2022-2023,Qtr 1,47920,SKU-005,Depot 14
2022-2023,Qtr 2,10040,SKU-005,Depot 14
2022-2023,Qtr 3,30640,SKU-005,Depot 14
2022-2023,Qtr 4,18960,SKU-005,Depot 14
2023-2024,Qtr 1,15120,SKU-005,Depot 14
2023-2024,Qtr 2,8920,SKU-005,Depot 14
2023-2024,Qtr 3,18240,SKU-005,Depot 14
2023-2024,Qtr 4,14480,SKU-005,Depot 14
2024-2025,Qtr 2,6800,SKU-005,Depot 14
