Month,Region,SKU,Quantity,Price,Fitted,Revenue,Percentage Change,Projected Revenue,Projected Demand,
01-Jul-22,West,A,242,44,208,10648,-2,10435,248,
01-Aug-22,West,A,262,43,212,11266,-2,11041,268,
01-Sep-22,West,A,199,42,179,8358,-2,8191,204,
01-Oct-22,West,A,193,47,162,9071,-2,8890,198,
01-Nov-22,West,A,263,42,229,11046,-2,10825,269,
01-Dec-22,West,A,197,38,164,7486,-2,7336,202,
01-Jan-23,West,A,295,54,245,15930,-2,15611,302,
01-Feb-23,West,A,207,40,176,8280,-2,8114,212,
01-Mar-23,West,A,293,43,243,12599,-2,12347,300,
01-Apr-23,West,A,170,51,153,8670,-2,8497,174,
01-May-23,West,A,170,29,153,4930,-2,4831,174,
01-Jun-23,West,A,178,31,160,5518,-2,5408,182,
01-Jul-23,West,A,276,40,243,11040,-2,10819,283,
01-Aug-23,West,A,197,57,160,11229,-2,11004,202,
01-Sep-23,West,A,213,28,185,5964,-2,5845,218,
01-Oct-23,West,A,297,41,258,12177,-2,11933,304,
01-Nov-23,West,A,297,34,261,10098,-2,9896,304,
01-Dec-23,West,A,221,51,179,11271,-2,11046,226,
01-Jan-24,West,A,293,57,243,16701,-2,16367,300,
01-Feb-24,West,A,221,42,179,9282,-2,9096,226,
01-Mar-24,West,A,178,46,148,8188,-2,8024,182,
01-Apr-24,West,A,243,39,219,9477,-2,9287,249,
01-May-24,West,A,251,32,218,8032,-2,7871,257,
01-Jun-24,West,A,272,42,223,11424,-2,11196,279,
01-Jul-24,West,A,158,45,134,7110,-2,6968,162,
01-Aug-24,West,A,181,40,147,7240,-2,7095,185,
01-Sep-24,West,A,175,42,149,7350,-2,7203,179,
01-Oct-24,West,A,223,55,198,12265,-2,12020,228,
01-Nov-24,West,A,289,39,234,11271,-2,11046,296,
01-Dec-24,West,A,248,38,213,9424,-2,9236,254,
01-Jan-25,West,A,171,56,140,9576,-2,9384,175,
01-Feb-25,West,A,171,33,144,5643,-2,5530,175,
01-Mar-25,West,A,265,51,217,13515,-2,13245,271,
01-Apr-21,West,A,211,46,190,9706,-3,9415,219,
01-May-21,West,A,158,35,130,5530,-3,5364,164,
01-Jun-21,West,A,200,31,166,6200,-3,6014,208,
01-Jul-21,West,A,235,46,209,10810,-3,10486,244,
01-Aug-21,West,A,163,32,135,5216,-3,5060,169,
01-Sep-21,West,A,198,41,168,8118,-3,7874,206,
01-Oct-21,West,A,163,31,147,5053,-3,4901,169,
01-Nov-21,West,A,230,48,196,11040,-3,10709,239,
01-Dec-21,West,A,186,51,158,9486,-3,9201,193,
01-Jan-22,West,A,257,29,213,7453,-3,7229,267,
01-Feb-22,West,A,267,46,222,12282,-3,11914,277,
01-Mar-22,West,A,151,28,122,4228,-3,4101,157,
01-Apr-22,West,A,272,51,245,13872,-3,13456,282,
01-May-22,West,A,251,31,216,7781,-3,7548,261,
01-Jun-22,West,A,173,58,154,10034,-3,9733,180,
01-Jul-22,West,A,242,44,208,10648,-3,10329,251,
01-Aug-22,West,A,262,43,212,11266,-3,10928,272,
01-Sep-22,West,A,199,42,179,8358,-3,8107,207,
01-Oct-22,West,A,193,47,162,9071,-3,8799,200,
01-Nov-22,West,A,263,42,229,11046,-3,10715,273,
01-Dec-22,West,A,197,38,164,7486,-3,7261,204,
01-Jan-23,West,A,295,54,245,15930,-3,15452,306,
01-Feb-23,West,A,207,40,176,8280,-3,8032,215,
01-Mar-23,West,A,293,43,243,12599,-3,12221,304,
01-Apr-23,West,A,170,51,153,8670,-3,8410,176,
01-May-23,West,A,170,29,153,4930,-3,4782,176,
01-Jun-23,West,A,178,31,160,5518,-3,5352,185,
01-Jul-23,West,A,276,40,243,11040,-3,10709,286,
01-Aug-23,West,A,197,57,160,11229,-3,10892,204,
01-Sep-23,West,A,213,28,185,5964,-3,5785,221,
01-Oct-23,West,A,297,41,258,12177,-3,11812,308,
01-Nov-23,West,A,297,34,261,10098,-3,9795,308,
01-Dec-23,West,A,221,51,179,11271,-3,10933,229,
01-Jan-24,West,A,293,57,243,16701,-3,16200,304,
01-Feb-24,West,A,221,42,179,9282,-3,9004,229,
01-Mar-24,West,A,178,46,148,8188,-3,7942,185,
01-Apr-24,West,A,243,39,219,9477,-3,9193,252,
01-May-24,West,A,251,32,218,8032,-3,7791,261,
01-Jun-24,West,A,272,42,223,11424,-3,11081,282,
01-Jul-24,West,A,158,45,134,7110,-3,6897,164,
01-Aug-24,West,A,181,40,147,7240,-3,7023,188,
01-Sep-24,West,A,175,42,149,7350,-3,7130,182,
01-Oct-24,West,A,223,55,198,12265,-3,11897,231,
01-Nov-24,West,A,289,39,234,11271,-3,10933,300,
01-Dec-24,West,A,248,38,213,9424,-3,9141,257,
01-Jan-25,West,A,171,56,140,9576,-3,9289,177,
01-Feb-25,West,A,171,33,144,5643,-3,5474,177,
01-Mar-25,West,A,265,51,217,13515,-3,13110,275,
01-Apr-21,West,A,211,46,190,9706,-4,9318,221,
01-May-21,West,A,158,35,130,5530,-4,5309,166,
01-Jun-21,West,A,200,31,166,6200,-4,5952,210,
01-Jul-21,West,A,235,46,209,10810,-4,10378,246,
01-Aug-21,West,A,163,32,135,5216,-4,5007,171,
01-Sep-21,West,A,198,41,168,8118,-4,7793,208,
01-Oct-21,West,A,163,31,147,5053,-4,4851,171,
01-Nov-21,West,A,230,48,196,11040,-4,10598,241,
01-Dec-21,West,A,186,51,158,9486,-4,9107,195,
01-Jan-22,West,A,257,29,213,7453,-4,7155,269,
01-Feb-22,West,A,267,46,222,12282,-4,11791,280,
01-Mar-22,West,A,151,28,122,4228,-4,4059,158,
01-Apr-22,West,A,272,51,245,13872,-4,13317,285,
01-May-22,West,A,251,31,216,7781,-4,7470,263,
01-Jun-22,West,A,173,58,154,10034,-4,9633,181,
01-Jul-22,West,A,242,44,208,10648,-4,10222,254,
01-Aug-22,West,A,262,43,212,11266,-4,10815,275,
01-Sep-22,West,A,199,42,179,8358,-4,8024,209,
01-Oct-22,West,A,193,47,162,9071,-4,8708,202,
01-Nov-22,West,A,263,42,229,11046,-4,10604,276,
01-Dec-22,West,A,197,38,164,7486,-4,7187,206,
01-Jan-23,West,A,295,54,245,15930,-4,15293,309,
01-Feb-23,West,A,207,40,176,8280,-4,7949,217,
01-Mar-23,West,A,293,43,243,12599,-4,12095,307,
01-Apr-23,West,A,170,51,153,8670,-4,8323,178,
01-May-23,West,A,170,29,153,4930,-4,4733,178,
01-Jun-23,West,A,178,31,160,5518,-4,5297,187,
01-Jul-23,West,A,276,40,243,11040,-4,10598,289,
01-Aug-23,West,A,197,57,160,11229,-4,10780,206,
01-Sep-23,West,A,213,28,185,5964,-4,5725,223,
01-Oct-23,West,A,297,41,258,12177,-4,11690,311,
01-Nov-23,West,A,297,34,261,10098,-4,9694,311,
01-Dec-23,West,A,221,51,179,11271,-4,10820,232,
01-Jan-24,West,A,293,57,243,16701,-4,16033,307,
01-Feb-24,West,A,221,42,179,9282,-4,8911,232,
01-Mar-24,West,A,178,46,148,8188,-4,7860,187,
01-Apr-24,West,A,243,39,219,9477,-4,9098,255,
01-May-24,West,A,251,32,218,8032,-4,7711,263,
01-Jun-24,West,A,272,42,223,11424,-4,10967,285,
01-Jul-24,West,A,158,45,134,7110,-4,6826,166,
01-Aug-24,West,A,181,40,147,7240,-4,6950,190,
01-Sep-24,West,A,175,42,149,7350,-4,7056,183,
01-Oct-24,West,A,223,55,198,12265,-4,11774,234,
01-Nov-24,West,A,289,39,234,11271,-4,10820,303,
01-Dec-24,West,A,248,38,213,9424,-4,9047,260,
01-Jan-25,West,A,171,56,140,9576,-4,9193,179,
01-Feb-25,West,A,171,33,144,5643,-4,5417,179,
01-Mar-25,West,A,265,51,217,13515,-4,12974,278,
01-Apr-21,West,A,211,46,190,9706,-5,9221,224,
01-May-21,West,A,158,35,130,5530,-5,5254,167,
01-Jun-21,West,A,200,31,166,6200,-5,5890,212,
01-Jul-21,West,A,235,46,209,10810,-5,10270,249,
01-Aug-21,West,A,163,32,135,5216,-5,4955,173,
01-Sep-21,West,A,198,41,168,8118,-5,7712,210,
01-Oct-21,West,A,163,31,147,5053,-5,4800,173,
01-Nov-21,West,A,230,48,196,11040,-5,10488,244,
01-Dec-21,West,A,186,51,158,9486,-5,9012,197,
01-Jan-22,West,A,257,29,213,7453,-5,7080,272,
01-Feb-22,West,A,267,46,222,12282,-5,11668,283,
01-Mar-22,West,A,151,28,122,4228,-5,4017,160,
01-Apr-22,West,A,272,51,245,13872,-5,13178,288,
01-May-22,West,A,251,31,216,7781,-5,7392,266,
01-Jun-22,West,A,173,58,154,10034,-5,9532,183,
01-Jul-22,West,A,242,44,208,10648,-5,10116,257,
01-Aug-22,West,A,262,43,212,11266,-5,10703,278,
01-Sep-22,West,A,199,42,179,8358,-5,7940,211,
01-Oct-22,West,A,193,47,162,9071,-5,8617,205,
01-Nov-22,West,A,263,42,229,11046,-5,10494,279,
01-Dec-22,West,A,197,38,164,7486,-5,7112,209,
01-Jan-23,West,A,295,54,245,15930,-5,15134,313,
01-Feb-23,West,A,207,40,176,8280,-5,7866,219,
01-Mar-23,West,A,293,43,243,12599,-5,11969,311,
01-Apr-23,West,A,170,51,153,8670,-5,8237,180,
01-May-23,West,A,170,29,153,4930,-5,4684,180,
01-Jun-23,West,A,178,31,160,5518,-5,5242,189,
01-Jul-23,West,A,276,40,243,11040,-5,10488,293,
01-Aug-23,West,A,197,57,160,11229,-5,10668,209,
01-Sep-23,West,A,213,28,185,5964,-5,5666,226,
01-Oct-23,West,A,297,41,258,12177,-5,11568,315,
01-Nov-23,West,A,297,34,261,10098,-5,9593,315,
01-Dec-23,West,A,221,51,179,11271,-5,10707,234,
01-Jan-24,West,A,293,57,243,16701,-5,15866,311,
01-Feb-24,West,A,221,42,179,9282,-5,8818,234,
01-Mar-24,West,A,178,46,148,8188,-5,7779,189,
01-Apr-24,West,A,243,39,219,9477,-5,9003,258,
01-May-24,West,A,251,32,218,8032,-5,7630,266,
01-Jun-24,West,A,272,42,223,11424,-5,10853,288,
01-Jul-24,West,A,158,45,134,7110,-5,6755,167,
01-Aug-24,West,A,181,40,147,7240,-5,6878,192,
01-Sep-24,West,A,175,42,149,7350,-5,6983,186,
01-Oct-24,West,A,223,55,198,12265,-5,11652,236,
01-Nov-24,West,A,289,39,234,11271,-5,10707,306,
01-Dec-24,West,A,248,38,213,9424,-5,8953,263,
01-Jan-25,West,A,171,56,140,9576,-5,9097,181,
01-Feb-25,West,A,171,33,144,5643,-5,5361,181,
01-Mar-25,West,A,265,51,217,13515,-5,12839,281,
01-Apr-21,South,A,153,48,124,7344,2,7491,149,
01-May-21,South,A,164,48,146,7872,2,8029,160,
01-Jun-21,South,A,136,50,112,6800,2,6936,133,
01-Jul-21,South,A,97,29,79,2813,2,2869,95,
01-Aug-21,South,A,79,47,64,3713,2,3787,77,
01-Sep-21,South,A,92,37,80,3404,2,3472,90,
01-Oct-21,South,A,106,25,93,2650,2,2703,103,
01-Nov-21,South,A,122,14,100,1708,2,1742,119,
01-Dec-21,South,A,148,33,132,4884,2,4982,144,
01-Jan-22,South,A,172,35,143,6020,2,6140,168,
01-Feb-22,South,A,159,42,134,6678,2,6812,155,
01-Mar-22,South,A,89,48,72,4272,2,4357,87,
01-Apr-22,South,A,140,36,116,5040,2,5141,137,
01-May-22,South,A,136,16,116,2176,2,2220,133,
01-Jun-22,South,A,169,27,150,4563,2,4654,165,
01-Jul-22,South,A,144,22,127,3168,2,3231,141,
01-Aug-22,South,A,150,38,122,5700,2,5814,146,
01-Sep-22,South,A,139,20,120,2780,2,2836,136,
01-Oct-22,South,A,188,19,164,3572,2,3643,183,
01-Nov-22,South,A,113,32,92,3616,2,3688,110,
01-Dec-22,South,A,200,46,174,9200,2,9384,195,
01-Jan-23,South,A,124,12,102,1488,2,1518,121,
01-Feb-23,South,A,97,49,87,4753,2,4848,95,
01-Mar-23,South,A,143,35,116,5005,2,5105,140,
01-Apr-23,South,A,169,42,142,7098,2,7240,165,
01-May-23,South,A,166,38,141,6308,2,6434,162,
01-Jun-23,South,A,121,40,103,4840,2,4937,118,
01-Jul-23,South,A,131,27,118,3537,2,3608,128,
01-Aug-23,South,A,200,20,176,4000,2,4080,195,
01-Sep-23,South,A,197,40,171,7880,2,8038,192,
01-Oct-23,South,A,76,35,65,2660,2,2713,74,
01-Nov-23,South,A,196,11,159,2156,2,2199,191,
01-Dec-23,South,A,153,48,132,7344,2,7491,149,
01-Jan-24,South,A,117,42,102,4914,2,5012,114,
01-Feb-24,South,A,138,43,124,5934,2,6053,135,
01-Mar-24,South,A,196,28,165,5488,2,5598,191,
01-Apr-24,South,A,101,45,82,4545,2,4636,99,
01-May-24,South,A,148,31,126,4588,2,4680,144,
01-Jun-24,South,A,109,36,94,3924,2,4002,106,
01-Jul-24,South,A,111,49,99,5439,2,5548,108,
01-Aug-24,South,A,145,29,117,4205,2,4289,142,
01-Sep-24,South,A,175,49,151,8575,2,8747,171,
01-Oct-24,South,A,169,15,149,2535,2,2586,165,
01-Nov-24,South,A,100,16,81,1600,2,1632,98,
01-Dec-24,South,A,93,34,77,3162,2,3225,91,
01-Jan-25,South,A,178,10,153,1780,2,1816,174,
01-Feb-25,South,A,190,48,162,9120,2,9302,185,
01-Mar-25,South,A,185,24,159,4440,2,4529,181,
01-Apr-21,South,A,153,48,124,7344,3,7564,147,
01-May-21,South,A,164,48,146,7872,3,8108,158,
01-Jun-21,South,A,136,50,112,6800,3,7004,131,
01-Jul-21,South,A,97,29,79,2813,3,2897,94,
01-Aug-21,South,A,79,47,64,3713,3,3824,76,
01-Sep-21,South,A,92,37,80,3404,3,3506,89,
01-Oct-21,South,A,106,25,93,2650,3,2730,102,
01-Nov-21,South,A,122,14,100,1708,3,1759,118,
01-Dec-21,South,A,148,33,132,4884,3,5031,143,
01-Jan-22,South,A,172,35,143,6020,3,6201,166,
01-Feb-22,South,A,159,42,134,6678,3,6878,153,
01-Mar-22,South,A,89,48,72,4272,3,4400,86,
01-Apr-22,South,A,140,36,116,5040,3,5191,135,
01-May-22,South,A,136,16,116,2176,3,2241,131,
01-Jun-22,South,A,169,27,150,4563,3,4700,163,
01-Jul-22,South,A,144,22,127,3168,3,3263,139,
01-Aug-22,South,A,150,38,122,5700,3,5871,145,
01-Sep-22,South,A,139,20,120,2780,3,2863,134,
01-Oct-22,South,A,188,19,164,3572,3,3679,181,
01-Nov-22,South,A,113,32,92,3616,3,3724,109,
01-Dec-22,South,A,200,46,174,9200,3,9476,193,
01-Jan-23,South,A,124,12,102,1488,3,1533,120,
01-Feb-23,South,A,97,49,87,4753,3,4896,94,
01-Mar-23,South,A,143,35,116,5005,3,5155,138,
01-Apr-23,South,A,169,42,142,7098,3,7311,163,
01-May-23,South,A,166,38,141,6308,3,6497,160,
01-Jun-23,South,A,121,40,103,4840,3,4985,117,
01-Jul-23,South,A,131,27,118,3537,3,3643,126,
01-Aug-23,South,A,200,20,176,4000,3,4120,193,
01-Sep-23,South,A,197,40,171,7880,3,8116,190,
01-Oct-23,South,A,76,35,65,2660,3,2740,73,
01-Nov-23,South,A,196,11,159,2156,3,2221,189,
01-Dec-23,South,A,153,48,132,7344,3,7564,147,
01-Jan-24,South,A,117,42,102,4914,3,5061,113,
01-Feb-24,South,A,138,43,124,5934,3,6112,133,
01-Mar-24,South,A,196,28,165,5488,3,5653,189,
01-Apr-24,South,A,101,45,82,4545,3,4681,97,
01-May-24,South,A,148,31,126,4588,3,4726,143,
01-Jun-24,South,A,109,36,94,3924,3,4042,105,
01-Jul-24,South,A,111,49,99,5439,3,5602,107,
01-Aug-24,South,A,145,29,117,4205,3,4331,140,
01-Sep-24,South,A,175,49,151,8575,3,8832,169,
01-Oct-24,South,A,169,15,149,2535,3,2611,163,
01-Nov-24,South,A,100,16,81,1600,3,1648,96,
01-Dec-24,South,A,93,34,77,3162,3,3257,90,
01-Jan-25,South,A,178,10,153,1780,3,1833,172,
01-Feb-25,South,A,190,48,162,9120,3,9394,183,
01-Mar-25,South,A,185,24,159,4440,3,4573,178,
01-Apr-21,South,A,153,48,124,7344,4,7638,146,
01-May-21,South,A,164,48,146,7872,4,8187,156,
01-Jun-21,South,A,136,50,112,6800,4,7072,129,
01-Jul-21,South,A,97,29,79,2813,4,2926,92,
01-Aug-21,South,A,79,47,64,3713,4,3862,75,
01-Sep-21,South,A,92,37,80,3404,4,3540,88,
01-Oct-21,South,A,106,25,93,2650,4,2756,101,
01-Nov-21,South,A,122,14,100,1708,4,1776,116,
01-Dec-21,South,A,148,33,132,4884,4,5079,141,
01-Jan-22,South,A,172,35,143,6020,4,6261,164,
01-Feb-22,South,A,159,42,134,6678,4,6945,151,
01-Mar-22,South,A,89,48,72,4272,4,4443,85,
01-Apr-22,South,A,140,36,116,5040,4,5242,133,
01-May-22,South,A,136,16,116,2176,4,2263,129,
01-Jun-22,South,A,169,27,150,4563,4,4746,161,
01-Jul-22,South,A,144,22,127,3168,4,3295,137,
01-Aug-22,South,A,150,38,122,5700,4,5928,143,
01-Sep-22,South,A,139,20,120,2780,4,2891,132,
01-Oct-22,South,A,188,19,164,3572,4,3715,179,
01-Nov-22,South,A,113,32,92,3616,4,3761,108,
01-Dec-22,South,A,200,46,174,9200,4,9568,190,
01-Jan-23,South,A,124,12,102,1488,4,1548,118,
01-Feb-23,South,A,97,49,87,4753,4,4943,92,
01-Mar-23,South,A,143,35,116,5005,4,5205,136,
01-Apr-23,South,A,169,42,142,7098,4,7382,161,
01-May-23,South,A,166,38,141,6308,4,6560,158,
01-Jun-23,South,A,121,40,103,4840,4,5034,115,
01-Jul-23,South,A,131,27,118,3537,4,3678,125,
01-Aug-23,South,A,200,20,176,4000,4,4160,190,
01-Sep-23,South,A,197,40,171,7880,4,8195,188,
01-Oct-23,South,A,76,35,65,2660,4,2766,72,
01-Nov-23,South,A,196,11,159,2156,4,2242,187,
01-Dec-23,South,A,153,48,132,7344,4,7638,146,
01-Jan-24,South,A,117,42,102,4914,4,5111,111,
01-Feb-24,South,A,138,43,124,5934,4,6171,131,
01-Mar-24,South,A,196,28,165,5488,4,5708,187,
01-Apr-24,South,A,101,45,82,4545,4,4727,96,
01-May-24,South,A,148,31,126,4588,4,4772,141,
01-Jun-24,South,A,109,36,94,3924,4,4081,104,
01-Jul-24,South,A,111,49,99,5439,4,5657,106,
01-Aug-24,South,A,145,29,117,4205,4,4373,138,
01-Sep-24,South,A,175,49,151,8575,4,8918,167,
01-Oct-24,South,A,169,15,149,2535,4,2636,161,
01-Nov-24,South,A,100,16,81,1600,4,1664,95,
01-Dec-24,South,A,93,34,77,3162,4,3288,89,
01-Jan-25,South,A,178,10,153,1780,4,1851,169,
01-Feb-25,South,A,190,48,162,9120,4,9485,181,
01-Mar-25,South,A,185,24,159,4440,4,4618,176,
01-Apr-21,South,A,153,48,124,7344,5,7711,144,
01-May-21,South,A,164,48,146,7872,5,8266,154,
01-Jun-21,South,A,136,50,112,6800,5,7140,128,
01-Jul-21,South,A,97,29,79,2813,5,2954,91,
01-Aug-21,South,A,79,47,64,3713,5,3899,74,
01-Sep-21,South,A,92,37,80,3404,5,3574,86,
01-Oct-21,South,A,106,25,93,2650,5,2783,100,
01-Nov-21,South,A,122,14,100,1708,5,1793,115,
01-Dec-21,South,A,148,33,132,4884,5,5128,139,
01-Jan-22,South,A,172,35,143,6020,5,6321,162,
01-Feb-22,South,A,159,42,134,6678,5,7012,149,
01-Mar-22,South,A,89,48,72,4272,5,4486,84,
01-Apr-22,South,A,140,36,116,5040,5,5292,132,
01-May-22,South,A,136,16,116,2176,5,2285,128,
01-Jun-22,South,A,169,27,150,4563,5,4791,159,
01-Jul-22,South,A,144,22,127,3168,5,3326,135,
01-Aug-22,South,A,150,38,122,5700,5,5985,141,
01-Sep-22,South,A,139,20,120,2780,5,2919,131,
01-Oct-22,South,A,188,19,164,3572,5,3751,177,
01-Nov-22,South,A,113,32,92,3616,5,3797,106,
01-Dec-22,South,A,200,46,174,9200,5,9660,188,
01-Jan-23,South,A,124,12,102,1488,5,1562,117,
01-Feb-23,South,A,97,49,87,4753,5,4991,91,
01-Mar-23,South,A,143,35,116,5005,5,5255,134,
01-Apr-23,South,A,169,42,142,7098,5,7453,159,
01-May-23,South,A,166,38,141,6308,5,6623,156,
01-Jun-23,South,A,121,40,103,4840,5,5082,114,
01-Jul-23,South,A,131,27,118,3537,5,3714,123,
01-Aug-23,South,A,200,20,176,4000,5,4200,188,
01-Sep-23,South,A,197,40,171,7880,5,8274,185,
01-Oct-23,South,A,76,35,65,2660,5,2793,71,
01-Nov-23,South,A,196,11,159,2156,5,2264,184,
01-Dec-23,South,A,153,48,132,7344,5,7711,144,
01-Jan-24,South,A,117,42,102,4914,5,5160,110,
01-Feb-24,South,A,138,43,124,5934,5,6231,130,
01-Mar-24,South,A,196,28,165,5488,5,5762,184,
01-Apr-24,South,A,101,45,82,4545,5,4772,95,
01-May-24,South,A,148,31,126,4588,5,4817,139,
01-Jun-24,South,A,109,36,94,3924,5,4120,102,
01-Jul-24,South,A,111,49,99,5439,5,5711,104,
01-Aug-24,South,A,145,29,117,4205,5,4415,136,
01-Sep-24,South,A,175,49,151,8575,5,9004,165,
01-Oct-24,South,A,169,15,149,2535,5,2662,159,
01-Nov-24,South,A,100,16,81,1600,5,1680,94,
01-Dec-24,South,A,93,34,77,3162,5,3320,87,
01-Jan-25,South,A,178,10,153,1780,5,1869,167,
01-Feb-25,South,A,190,48,162,9120,5,9576,179,
01-Mar-25,South,A,185,24,159,4440,5,4662,174,
01-Apr-21,South,A,153,48,124,7344,-2,7197,157,
01-May-21,South,A,164,48,146,7872,-2,7715,168,
01-Jun-21,South,A,136,50,112,6800,-2,6664,139,
01-Jul-21,South,A,97,29,79,2813,-2,2757,99,
01-Aug-21,South,A,79,47,64,3713,-2,3639,81,
01-Sep-21,South,A,92,37,80,3404,-2,3336,94,
01-Oct-21,South,A,106,25,93,2650,-2,2597,109,
01-Nov-21,South,A,122,14,100,1708,-2,1674,125,
01-Dec-21,South,A,148,33,132,4884,-2,4786,152,
01-Jan-22,South,A,172,35,143,6020,-2,5900,176,
01-Feb-22,South,A,159,42,134,6678,-2,6544,163,
01-Mar-22,South,A,89,48,72,4272,-2,4187,91,
01-Apr-22,South,A,140,36,116,5040,-2,4939,143,
01-May-22,South,A,136,16,116,2176,-2,2132,139,
01-Jun-22,South,A,169,27,150,4563,-2,4472,173,
01-Jul-22,South,A,144,22,127,3168,-2,3105,147,
01-Aug-22,South,A,150,38,122,5700,-2,5586,154,
01-Sep-22,South,A,139,20,120,2780,-2,2724,142,
01-Oct-22,South,A,188,19,164,3572,-2,3501,193,
01-Nov-22,South,A,113,32,92,3616,-2,3544,116,
01-Dec-22,South,A,200,46,174,9200,-2,9016,205,
01-Jan-23,South,A,124,12,102,1488,-2,1458,127,
01-Feb-23,South,A,97,49,87,4753,-2,4658,99,
01-Mar-23,South,A,143,35,116,5005,-2,4905,146,
01-Apr-23,South,A,169,42,142,7098,-2,6956,173,
01-May-23,South,A,166,38,141,6308,-2,6182,170,
01-Jun-23,South,A,121,40,103,4840,-2,4743,124,
01-Jul-23,South,A,131,27,118,3537,-2,3466,134,
01-Aug-23,South,A,200,20,176,4000,-2,3920,205,
01-Sep-23,South,A,197,40,171,7880,-2,7722,202,
01-Oct-23,South,A,76,35,65,2660,-2,2607,78,
01-Nov-23,South,A,196,11,159,2156,-2,2113,201,
01-Dec-23,South,A,153,48,132,7344,-2,7197,157,
01-Jan-24,South,A,117,42,102,4914,-2,4816,120,
01-Feb-24,South,A,138,43,124,5934,-2,5815,141,
01-Mar-24,South,A,196,28,165,5488,-2,5378,201,
01-Apr-24,South,A,101,45,82,4545,-2,4454,103,
01-May-24,South,A,148,31,126,4588,-2,4496,152,
01-Jun-24,South,A,109,36,94,3924,-2,3846,112,
01-Jul-24,South,A,111,49,99,5439,-2,5330,114,
01-Aug-24,South,A,145,29,117,4205,-2,4121,148,
01-Sep-24,South,A,175,49,151,8575,-2,8404,179,
01-Oct-24,South,A,169,15,149,2535,-2,2484,173,
01-Nov-24,South,A,100,16,81,1600,-2,1568,102,
01-Dec-24,South,A,93,34,77,3162,-2,3099,95,
01-Jan-25,South,A,178,10,153,1780,-2,1744,182,
01-Feb-25,South,A,190,48,162,9120,-2,8938,195,
01-Mar-25,South,A,185,24,159,4440,-2,4351,189,
01-Apr-21,South,A,153,48,124,7344,-3,7124,159,
01-May-21,South,A,164,48,146,7872,-3,7636,170,
01-Jun-21,South,A,136,50,112,6800,-3,6596,141,
01-Jul-21,South,A,97,29,79,2813,-3,2729,101,
01-Aug-21,South,A,79,47,64,3713,-3,3602,82,
01-Sep-21,South,A,92,37,80,3404,-3,3302,95,
01-Oct-21,South,A,106,25,93,2650,-3,2571,110,
01-Nov-21,South,A,122,14,100,1708,-3,1657,127,
01-Dec-21,South,A,148,33,132,4884,-3,4737,154,
01-Jan-22,South,A,172,35,143,6020,-3,5839,179,
01-Feb-22,South,A,159,42,134,6678,-3,6478,165,
01-Mar-22,South,A,89,48,72,4272,-3,4144,92,
01-Apr-22,South,A,140,36,116,5040,-3,4889,145,
01-May-22,South,A,136,16,116,2176,-3,2111,141,
01-Jun-22,South,A,169,27,150,4563,-3,4426,175,
01-Jul-22,South,A,144,22,127,3168,-3,3073,149,
01-Aug-22,South,A,150,38,122,5700,-3,5529,156,
01-Sep-22,South,A,139,20,120,2780,-3,2697,144,
01-Oct-22,South,A,188,19,164,3572,-3,3465,195,
01-Nov-22,South,A,113,32,92,3616,-3,3508,117,
01-Dec-22,South,A,200,46,174,9200,-3,8924,208,
01-Jan-23,South,A,124,12,102,1488,-3,1443,129,
01-Feb-23,South,A,97,49,87,4753,-3,4610,101,
01-Mar-23,South,A,143,35,116,5005,-3,4855,148,
01-Apr-23,South,A,169,42,142,7098,-3,6885,175,
01-May-23,South,A,166,38,141,6308,-3,6119,172,
01-Jun-23,South,A,121,40,103,4840,-3,4695,126,
01-Jul-23,South,A,131,27,118,3537,-3,3431,136,
01-Aug-23,South,A,200,20,176,4000,-3,3880,208,
01-Sep-23,South,A,197,40,171,7880,-3,7644,204,
01-Oct-23,South,A,76,35,65,2660,-3,2580,79,
01-Nov-23,South,A,196,11,159,2156,-3,2091,203,
01-Dec-23,South,A,153,48,132,7344,-3,7124,159,
01-Jan-24,South,A,117,42,102,4914,-3,4767,121,
01-Feb-24,South,A,138,43,124,5934,-3,5756,143,
01-Mar-24,South,A,196,28,165,5488,-3,5323,203,
01-Apr-24,South,A,101,45,82,4545,-3,4409,105,
01-May-24,South,A,148,31,126,4588,-3,4450,154,
01-Jun-24,South,A,109,36,94,3924,-3,3806,113,
01-Jul-24,South,A,111,49,99,5439,-3,5276,115,
01-Aug-24,South,A,145,29,117,4205,-3,4079,151,
01-Sep-24,South,A,175,49,151,8575,-3,8318,182,
01-Oct-24,South,A,169,15,149,2535,-3,2459,175,
01-Nov-24,South,A,100,16,81,1600,-3,1552,104,
01-Dec-24,South,A,93,34,77,3162,-3,3067,97,
01-Jan-25,South,A,178,10,153,1780,-3,1727,185,
01-Feb-25,South,A,190,48,162,9120,-3,8846,197,
01-Mar-25,South,A,185,24,159,4440,-3,4307,192,
01-Apr-21,South,A,153,48,124,7344,-4,7050,160,
01-May-21,South,A,164,48,146,7872,-4,7557,172,
01-Jun-21,South,A,136,50,112,6800,-4,6528,143,
01-Jul-21,South,A,97,29,79,2813,-4,2700,102,
01-Aug-21,South,A,79,47,64,3713,-4,3564,83,
01-Sep-21,South,A,92,37,80,3404,-4,3268,96,
01-Oct-21,South,A,106,25,93,2650,-4,2544,111,
01-Nov-21,South,A,122,14,100,1708,-4,1640,128,
