Month,Region,SKU,Quantity,Percentage Revenue Change,Projected Demand,Percent Demand Change (%)
01-05-2021,West,C,232,3,216,-7.00%
01-06-2021,West,C,199,3,193,-3.00%
01-07-2021,West,C,103,3,95,-8.30%
01-08-2021,West,C,299,3,265,-11.40%
01-09-2021,West,C,298,3,292,-2.10%
01-10-2021,West,C,110,3,104,-5.10%
01-11-2021,West,C,115,3,111,-3.90%
01-12-2021,West,C,125,3,112,-10.50%
01-01-2022,West,C,114,3,106,-7.20%
01-02-2022,West,C,217,3,196,-9.80%
01-03-2022,West,C,124,3,119,-3.60%
01-04-2022,West,C,267,3,242,-9.30%
01-05-2022,West,C,298,3,268,-10.00%
01-06-2022,West,C,131,3,128,-2.50%
01-07-2022,West,C,256,3,241,-5.90%
01-08-2022,West,C,185,3,172,-6.90%
01-09-2022,West,C,300,3,288,-3.90%
01-10-2022,West,C,294,3,269,-8.30%
01-11-2022,West,C,222,3,210,-5.20%
01-12-2022,West,C,120,3,112,-6.40%
01-01-2023,West,C,235,3,219,-6.80%
01-02-2023,West,C,210,3,197,-6.10%
01-03-2023,West,C,206,3,186,-9.50%
01-04-2023,West,C,180,3,163,-9.60%
01-05-2023,West,C,110,3,107,-3.10%
01-06-2023,West,C,190,3,183,-3.60%
01-07-2023,West,C,274,3,263,-4.20%
01-08-2023,West,C,100,3,97,-3.30%
01-09-2023,West,C,114,3,107,-6.50%
01-10-2023,West,C,137,3,131,-4.70%
01-11-2023,West,C,218,3,199,-8.90%
01-12-2023,West,C,199,3,192,-3.40%
01-01-2024,West,C,243,3,230,-5.30%
01-02-2024,West,C,197,3,180,-8.50%
01-03-2024,West,C,282,3,250,-11.20%
01-04-2024,West,C,248,3,229,-7.60%
01-05-2024,West,C,163,3,146,-10.30%
01-06-2024,West,C,169,3,157,-7.20%
01-07-2024,West,C,161,3,143,-11.00%
01-08-2024,West,C,262,3,244,-6.70%
01-09-2024,West,C,206,3,195,-5.30%
01-10-2024,West,C,180,3,166,-8.00%
01-11-2024,West,C,269,3,258,-4.30%
01-12-2024,West,C,132,3,117,-11.10%
01-01-2025,West,C,190,3,179,-5.80%
01-02-2025,West,C,279,3,272,-2.70%
01-03-2025,West,C,197,3,191,-2.80%
01-04-2021,North,B,86,3,82,-4.80%
01-05-2021,North,B,329,3,317,-3.70%
01-06-2021,North,B,204,3,192,-5.90%
01-07-2021,North,B,248,3,242,-2.30%
01-08-2021,North,B,267,3,260,-2.50%
01-09-2021,North,B,146,3,132,-9.80%
01-10-2021,North,B,284,3,260,-8.30%
01-11-2021,North,B,164,3,159,-3.00%
01-12-2021,North,B,228,3,217,-5.00%
01-01-2022,North,B,76,3,72,-5.00%
01-02-2022,North,B,284,3,259,-8.80%
01-03-2022,North,B,229,3,223,-2.80%
01-04-2022,North,B,108,3,100,-7.10%
01-05-2022,North,B,295,3,266,-9.80%
01-06-2022,North,B,163,3,156,-4.20%
01-07-2022,North,B,325,3,295,-9.30%
01-08-2022,North,B,198,3,183,-7.40%
01-09-2022,North,B,349,3,338,-3.10%
01-10-2022,North,B,112,3,105,-6.20%
01-11-2022,North,B,205,3,201,-2.20%
01-12-2022,North,B,292,3,284,-2.70%
01-01-2023,North,B,234,3,217,-7.40%
01-02-2023,North,B,142,3,133,-6.20%
01-03-2023,North,B,124,3,121,-2.10%
01-04-2023,North,B,172,3,153,-11.00%
01-05-2023,North,B,138,3,134,-2.80%
01-06-2023,North,B,162,3,145,-10.40%
01-07-2023,North,B,319,3,281,-11.80%
01-08-2023,North,B,260,3,244,-6.20%
01-09-2023,North,B,274,3,247,-9.80%
01-10-2023,North,B,176,3,156,-11.10%
01-11-2023,North,B,198,3,182,-8.00%
01-12-2023,North,B,199,3,195,-2.20%
01-01-2024,North,B,236,3,215,-9.00%
01-02-2024,North,B,270,3,256,-5.10%
01-03-2024,North,B,297,3,272,-8.30%
01-04-2024,North,B,119,3,111,-6.90%
01-05-2024,North,B,299,3,286,-4.30%
01-06-2024,North,B,267,3,258,-3.20%
01-07-2024,North,B,296,3,285,-3.70%
01-08-2024,North,B,320,3,286,-10.50%
01-09-2024,North,B,333,3,299,-10.40%
01-10-2024,North,B,241,3,219,-9.10%
01-11-2024,North,B,330,3,309,-6.30%
01-12-2024,North,B,128,3,124,-3.30%
01-01-2025,North,B,296,3,270,-8.70%
01-02-2025,North,B,132,3,126,-4.60%
01-03-2025,North,B,162,3,156,-3.90%
01-04-2021,North,B,138,3,132,-4.40%
01-05-2021,North,B,533,3,498,-6.60%
01-06-2021,North,B,316,3,309,-2.10%
01-07-2021,North,B,444,3,427,-3.90%
01-08-2021,North,B,425,3,413,-2.90%
01-09-2021,North,B,235,3,219,-6.80%
01-10-2021,North,B,474,3,464,-2.10%
01-11-2021,North,B,279,3,263,-5.90%
01-12-2021,North,B,367,3,327,-10.80%
01-01-2022,North,B,125,3,121,-3.50%
01-02-2022,North,B,480,3,461,-3.90%
01-03-2022,North,B,385,3,358,-6.90%
01-04-2022,North,B,189,3,180,-4.60%
01-05-2022,North,B,475,3,463,-2.50%
01-06-2022,North,B,245,3,216,-11.80%
01-07-2022,North,B,569,3,508,-10.70%
01-08-2022,North,B,333,3,299,-10.20%
01-09-2022,North,B,544,3,528,-2.90%
01-10-2022,North,B,174,3,163,-6.20%
01-11-2022,North,B,344,3,307,-10.80%
01-12-2022,North,B,450,3,438,-2.60%
01-01-2023,North,B,365,3,345,-5.40%
01-02-2023,North,B,256,3,239,-6.80%
01-03-2023,North,B,219,3,201,-8.10%
01-04-2023,North,B,310,3,281,-9.30%
01-05-2023,North,B,224,3,201,-10.20%
01-06-2023,North,B,290,3,258,-11.10%
01-07-2023,North,B,568,3,520,-8.40%
01-08-2023,North,B,429,3,390,-9.20%
01-09-2023,North,B,480,3,469,-2.20%
01-10-2023,North,B,271,3,256,-5.50%
01-11-2023,North,B,305,3,273,-10.40%
01-12-2023,North,B,314,3,292,-6.90%
01-01-2024,North,B,420,3,392,-6.70%
01-02-2024,North,B,459,3,422,-8.00%
01-03-2024,North,B,463,3,438,-5.30%
01-04-2024,North,B,188,3,166,-11.90%
01-05-2024,North,B,466,3,456,-2.20%
01-06-2024,North,B,417,3,368,-11.90%
01-07-2024,North,B,468,3,439,-6.10%
01-08-2024,North,B,493,3,438,-11.20%
01-09-2024,North,B,569,3,507,-10.90%
01-10-2024,North,B,395,3,376,-4.80%
01-11-2024,North,B,502,3,465,-7.30%
01-12-2024,North,B,210,3,204,-2.90%
01-01-2025,North,B,471,3,439,-6.80%
01-02-2025,North,B,215,3,194,-9.80%
01-03-2025,North,B,290,3,257,-11.50%
01-04-2021,South,B,145,3,129,-11.10%
01-05-2021,South,B,177,3,158,-10.90%
01-06-2021,South,B,106,3,97,-8.10%
01-07-2021,South,B,114,3,107,-6.40%
01-08-2021,South,B,139,3,126,-9.00%
01-09-2021,South,B,149,3,140,-5.80%
01-10-2021,South,B,159,3,142,-10.80%
01-11-2021,South,B,163,3,147,-10.00%
01-12-2021,South,B,139,3,125,-10.00%
01-01-2022,South,B,99,3,93,-6.30%
01-02-2022,South,B,158,3,153,-2.80%
01-03-2022,South,B,87,3,81,-7.50%
01-04-2022,South,B,124,3,114,-7.70%
01-05-2022,South,B,182,3,174,-4.70%
01-06-2022,South,B,191,3,180,-5.60%
01-07-2022,South,B,186,3,175,-6.10%
01-08-2022,South,B,118,3,106,-9.80%
01-09-2022,South,B,195,3,184,-5.60%
01-10-2022,South,B,81,3,79,-2.60%
01-11-2022,South,B,108,3,105,-3.20%
01-12-2022,South,B,188,3,181,-3.90%
01-01-2023,South,B,157,3,150,-4.30%
01-02-2023,South,B,138,3,127,-8.30%
01-03-2023,South,B,195,3,185,-5.30%
01-04-2023,South,B,91,3,84,-8.00%
01-05-2023,South,B,156,3,139,-10.70%
01-06-2023,South,B,89,3,80,-9.70%
01-07-2023,South,B,172,3,151,-11.90%
01-08-2023,South,B,106,3,101,-4.40%
01-09-2023,South,B,147,3,139,-5.80%
01-10-2023,South,B,75,3,69,-7.50%
01-11-2023,South,B,152,3,144,-5.40%
01-12-2023,South,B,87,3,83,-4.90%
01-01-2024,South,B,179,3,162,-9.40%
01-02-2024,South,B,108,3,97,-9.80%
01-03-2024,South,B,133,3,123,-7.70%
01-04-2024,South,B,150,3,146,-2.80%
01-05-2024,South,B,122,3,109,-10.70%
01-06-2024,South,B,115,3,106,-8.00%
01-07-2024,South,B,186,3,168,-9.70%
01-08-2024,South,B,158,3,146,-7.40%
01-09-2024,South,B,151,3,142,-6.20%
01-10-2024,South,B,88,3,82,-7.00%
01-11-2024,South,B,169,3,162,-4.20%
01-12-2024,South,B,174,3,157,-9.50%
01-01-2025,South,B,197,3,181,-8.00%
01-02-2025,South,B,97,3,90,-7.20%
01-03-2025,South,B,114,3,101,-11.60%
01-04-2021,South,B,129,3,114,-11.60%
01-05-2021,South,B,125,3,117,-6.40%
01-06-2021,South,B,127,3,116,-8.90%
01-07-2021,South,B,80,3,71,-11.20%
01-08-2021,South,B,197,3,178,-9.80%
01-09-2021,South,B,144,3,135,-6.00%
01-10-2021,South,B,122,3,117,-4.30%
01-11-2021,South,B,83,3,79,-5.00%
01-12-2021,South,B,142,3,135,-5.00%
01-01-2022,South,B,92,3,84,-8.30%
01-02-2022,South,B,91,3,84,-7.80%
01-03-2022,South,B,112,3,102,-8.80%
01-04-2022,South,B,122,3,119,-2.30%
01-05-2022,South,B,125,3,120,-3.60%
01-06-2022,South,B,189,3,182,-3.60%
01-07-2022,South,B,141,3,124,-11.80%
01-08-2022,South,B,82,3,72,-11.80%
01-09-2022,South,B,149,3,136,-8.40%
01-10-2022,South,B,94,3,88,-6.20%
01-11-2022,South,B,166,3,161,-3.00%
01-12-2022,South,B,120,3,111,-7.60%
01-01-2023,South,B,97,3,87,-10.30%
01-02-2023,South,B,141,3,131,-7.30%
01-03-2023,South,B,103,3,94,-9.10%
01-04-2023,South,B,174,3,154,-11.70%
01-05-2023,South,B,167,3,156,-6.40%
01-06-2023,South,B,78,3,69,-11.30%
01-07-2023,South,B,83,3,80,-3.30%
01-08-2023,South,B,111,3,98,-11.70%
01-09-2023,South,B,101,3,90,-10.40%
01-10-2023,South,B,104,3,100,-4.00%
01-11-2023,South,B,93,3,83,-11.20%
01-12-2023,South,B,142,3,129,-9.50%
01-01-2024,South,B,141,3,133,-5.40%
01-02-2024,South,B,147,3,132,-10.10%
01-03-2024,South,B,102,3,97,-4.60%
01-04-2024,South,B,167,3,162,-2.80%
01-05-2024,South,B,110,3,104,-5.50%
01-06-2024,South,B,192,3,181,-5.70%
01-07-2024,South,B,109,3,96,-11.90%
01-08-2024,South,B,165,3,156,-5.60%
01-09-2024,South,B,153,3,150,-2.10%
01-10-2024,South,B,180,3,169,-6.10%
01-11-2024,South,B,175,3,157,-10.40%
01-12-2024,South,B,174,3,170,-2.40%
01-01-2025,South,B,178,3,160,-10.30%
01-02-2025,South,B,172,3,167,-2.70%
01-03-2025,South,B,155,3,145,-6.50%
01-04-2021,West,B,258,3,235,-8.80%
01-05-2021,West,B,273,3,264,-3.40%
01-06-2021,West,B,155,3,144,-7.40%
01-07-2021,West,B,245,3,216,-11.90%
01-08-2021,West,B,288,3,257,-10.60%
01-09-2021,West,B,158,3,151,-4.20%
01-10-2021,West,B,272,3,260,-4.30%
01-11-2021,West,B,294,3,275,-6.30%
01-12-2021,West,B,228,3,218,-4.50%
01-01-2022,West,B,251,3,237,-5.50%
01-02-2022,West,B,180,3,162,-9.80%
01-03-2022,West,B,220,3,196,-10.80%
01-04-2022,West,B,165,3,157,-5.00%
01-05-2022,West,B,155,3,145,-6.70%
01-06-2022,West,B,217,3,198,-8.60%
01-07-2022,West,B,150,3,138,-8.20%
01-08-2022,West,B,232,3,215,-7.50%
01-09-2022,West,B,214,3,205,-4.20%
01-10-2022,West,B,170,3,151,-11.40%
01-11-2022,West,B,182,3,165,-9.40%
01-12-2022,West,B,182,3,172,-5.30%
01-01-2023,West,B,277,3,259,-6.50%
01-02-2023,West,B,212,3,191,-9.70%
01-03-2023,West,B,249,3,220,-11.60%
01-04-2023,West,B,154,3,145,-5.70%
01-05-2023,West,B,296,3,275,-7.10%
01-06-2023,West,B,202,3,189,-6.40%
01-07-2023,West,B,193,3,176,-8.60%
01-08-2023,West,B,230,3,203,-11.70%
01-09-2023,West,B,159,3,154,-3.10%
01-10-2023,West,B,183,3,176,-3.80%
01-11-2023,West,B,176,3,156,-11.50%
01-12-2023,West,B,167,3,150,-9.90%
01-01-2024,West,B,244,3,220,-9.70%
01-02-2024,West,B,244,3,232,-4.90%
01-03-2024,West,B,281,3,263,-6.40%
01-04-2024,West,B,207,3,187,-9.90%
01-05-2024,West,B,210,3,198,-5.90%
01-06-2024,West,B,274,3,252,-8.20%
01-07-2024,West,B,289,3,279,-3.50%
01-08-2024,West,B,229,3,207,-9.80%
01-09-2024,West,B,200,3,183,-8.70%
01-10-2024,West,B,160,3,145,-9.50%
01-11-2024,West,B,236,3,221,-6.20%
01-12-2024,West,B,280,3,269,-3.90%
01-01-2025,West,B,218,3,192,-11.70%
01-02-2025,West,B,282,3,256,-9.10%
01-03-2025,West,B,296,3,287,-2.90%
01-04-2021,West,B,270,3,263,-2.50%
01-05-2021,West,B,215,3,195,-9.30%
01-06-2021,West,B,285,3,263,-7.70%
01-07-2021,West,B,225,3,200,-11.20%
01-08-2021,West,B,280,3,252,-9.90%
01-09-2021,West,B,235,3,230,-2.10%
01-10-2021,West,B,248,3,240,-3.10%
01-11-2021,West,B,220,3,210,-4.40%
01-12-2021,West,B,151,3,138,-8.90%
01-01-2022,West,B,235,3,228,-3.00%
01-02-2022,West,B,255,3,239,-6.30%
01-03-2022,West,B,169,3,153,-9.30%
01-04-2022,West,B,252,3,235,-6.60%
01-05-2022,West,B,285,3,273,-4.30%
01-06-2022,West,B,299,3,278,-7.00%
01-07-2022,West,B,250,3,231,-7.70%
01-08-2022,West,B,295,3,286,-2.90%
01-09-2022,West,B,210,3,191,-9.00%
01-10-2022,West,B,271,3,243,-10.20%
01-11-2022,West,B,222,3,215,-3.40%
01-12-2022,West,B,235,3,222,-5.70%
01-01-2023,West,B,247,3,225,-8.80%
01-02-2023,West,B,288,3,268,-6.90%
01-03-2023,West,B,220,3,208,-5.40%
01-04-2023,West,B,286,3,277,-3.00%
01-05-2023,West,B,259,3,235,-9.10%
01-06-2023,West,B,155,3,143,-8.00%
01-07-2023,West,B,228,3,202,-11.50%
01-08-2023,West,B,218,3,211,-3.00%
01-09-2023,West,B,298,3,280,-5.90%
01-10-2023,West,B,170,3,164,-3.30%
01-11-2023,West,B,260,3,229,-11.80%
01-12-2023,West,B,157,3,148,-6.00%
01-01-2024,West,B,195,3,190,-2.40%
01-02-2024,West,B,213,3,192,-9.90%
01-03-2024,West,B,183,3,178,-2.60%
01-04-2024,West,B,155,3,139,-10.40%
01-05-2024,West,B,233,3,219,-6.00%
01-06-2024,West,B,233,3,224,-4.00%
01-07-2024,West,B,193,3,180,-6.60%
01-08-2024,West,B,176,3,168,-4.50%
01-09-2024,West,B,268,3,239,-10.80%
01-10-2024,West,B,298,3,283,-5.20%
01-11-2024,West,B,232,3,213,-8.20%
01-12-2024,West,B,156,3,140,-10.50%
01-01-2025,West,B,280,3,274,-2.30%
01-02-2025,West,B,258,3,246,-4.70%
01-03-2025,West,B,212,3,202,-5.00%
01-04-2025,North,B,167,4,150,-10.40%
01-05-2025,North,B,238,4,233,-2.20%
01-06-2025,North,B,200,4,178,-11.00%
01-07-2025,North,B,245,4,224,-8.70%
01-08-2025,North,B,253,4,239,-5.50%
01-09-2025,North,B,240,4,231,-3.90%
01-10-2025,North,B,182,4,161,-11.40%
01-11-2025,North,B,191,4,173,-9.40%
01-12-2025,North,B,204,4,183,-10.10%
01-01-2026,North,B,204,4,199,-2.70%
01-02-2026,North,B,185,4,168,-9.40%
01-03-2026,North,B,196,4,178,-9.20%
01-04-2025,North,B,297,4,280,-5.60%
01-05-2025,North,B,417,4,408,-2.10%
01-06-2025,North,B,362,4,333,-7.90%
01-07-2025,North,B,436,4,391,-10.20%
01-08-2025,North,B,415,4,380,-8.40%
01-09-2025,North,B,412,4,386,-6.30%
01-10-2025,North,B,302,4,266,-11.90%
01-11-2025,North,B,300,4,274,-8.70%
01-12-2025,North,B,376,4,361,-3.90%
01-01-2026,North,B,302,4,269,-10.80%
01-02-2026,North,B,265,4,249,-6.10%
01-03-2026,North,B,339,4,319,-5.80%
01-04-2025,South,B,65,4,62,-5.40%
01-05-2025,South,B,104,4,94,-10.10%
01-06-2025,South,B,94,4,90,-4.10%
01-07-2025,South,B,94,4,90,-4.40%
01-08-2025,South,B,92,4,86,-6.80%
01-09-2025,South,B,170,4,164,-3.80%
01-10-2025,South,B,93,4,91,-2.50%
01-11-2025,South,B,143,4,127,-10.90%
01-12-2025,South,B,174,4,170,-2.10%
01-01-2026,South,B,128,4,120,-6.50%
01-02-2026,South,B,84,4,76,-9.20%
01-03-2026,South,B,126,4,117,-7.00%
01-04-2025,South,B,158,4,147,-7.10%
01-05-2025,South,B,77,4,75,-2.90%
01-06-2025,South,B,87,4,85,-2.70%
01-07-2025,South,B,126,4,123,-2.30%
01-08-2025,South,B,121,4,111,-8.60%
01-09-2025,South,B,109,4,98,-9.70%
01-10-2025,South,B,70,4,64,-9.20%
01-11-2025,South,B,124,4,120,-3.20%
01-12-2025,South,B,169,4,159,-6.20%
01-01-2026,South,B,151,4,136,-10.00%
01-02-2026,South,B,84,4,81,-3.50%
01-03-2026,South,B,99,4,96,-2.80%
01-04-2025,West,B,158,4,152,-3.50%
01-05-2025,West,B,212,4,193,-9.10%
01-06-2025,West,B,230,4,217,-5.50%
01-07-2025,West,B,155,4,143,-7.70%
01-08-2025,West,B,219,4,197,-10.10%
01-09-2025,West,B,169,4,153,-9.70%
01-10-2025,West,B,180,4,164,-8.70%
01-11-2025,West,B,234,4,228,-2.40%
01-12-2025,West,B,172,4,154,-10.50%
01-01-2026,West,B,176,4,172,-2.40%
01-02-2026,West,B,189,4,167,-11.70%
01-03-2026,West,B,239,4,228,-4.60%
01-04-2025,West,B,218,4,206,-5.70%
01-05-2025,West,B,226,4,212,-6.10%
01-06-2025,West,B,134,4,123,-8.40%
01-07-2025,West,B,183,4,167,-9.00%
01-08-2025,West,B,239,4,215,-10.20%
01-09-2025,West,B,200,4,188,-5.80%
01-10-2025,West,B,217,4,193,-11.10%
01-11-2025,West,B,244,4,225,-7.70%
01-12-2025,West,B,200,4,196,-2.10%
01-01-2026,West,B,149,4,139,-6.70%
01-02-2026,West,B,216,4,201,-7.10%
01-03-2026,West,B,137,4,122,-10.60%
01-04-2025,West,C,213,4,195,-8.60%
01-05-2025,West,C,165,4,159,-3.80%
01-06-2025,West,C,99,4,97,-2.10%
01-07-2025,West,C,163,4,145,-10.90%
01-08-2025,West,C,89,4,87,-2.70%
01-09-2025,West,C,184,4,164,-10.80%
01-10-2025,West,C,134,4,119,-11.50%
01-11-2025,West,C,187,4,166,-11.10%
01-12-2025,West,C,216,4,196,-9.20%
01-01-2026,West,C,167,4,154,-7.80%
01-02-2026,West,C,253,4,229,-9.50%
01-03-2026,West,C,120,4,112,-7.00%
01-04-2025,West,C,159,4,148,-6.90%
01-05-2025,West,C,209,4,202,-3.60%
01-06-2025,West,C,108,4,103,-4.80%
01-07-2025,West,C,212,4,204,-3.70%
01-08-2025,West,C,200,4,178,-11.20%
01-09-2025,West,C,93,4,88,-5.20%
01-10-2025,West,C,207,4,187,-9.90%
01-11-2025,West,C,258,4,228,-11.50%
01-12-2025,West,C,143,4,139,-2.70%
01-01-2026,West,C,145,4,132,-9.20%
01-02-2026,West,C,128,4,121,-5.20%
01-03-2026,West,C,97,4,90,-7.70%
01-04-2025,South,C,141,4,135,-4.00%
01-05-2025,South,C,195,4,181,-7.40%
01-06-2025,South,C,175,4,169,-3.40%
01-07-2025,South,C,206,4,193,-6.40%
01-08-2025,South,C,89,4,81,-9.10%
01-09-2025,South,C,244,4,231,-5.20%
01-10-2025,South,C,130,4,119,-8.30%
01-11-2025,South,C,244,4,225,-8.00%
01-12-2025,South,C,168,4,157,-6.30%
01-01-2026,South,C,215,4,191,-11.40%
01-02-2026,South,C,231,4,223,-3.30%
01-03-2026,South,C,194,4,183,-5.60%
01-04-2025,South,C,187,4,175,-6.50%
01-05-2025,South,C,123,4,109,-11.30%
01-06-2025,South,C,100,4,93,-7.00%
01-07-2025,South,C,94,4,86,-8.70%
01-08-2025,South,C,154,4,146,-5.40%
01-09-2025,South,C,234,4,219,-6.20%
01-10-2025,South,C,225,4,212,-5.90%
01-11-2025,South,C,104,4,98,-5.40%
01-12-2025,South,C,121,4,108,-10.50%
01-01-2026,South,C,196,4,177,-9.60%
01-02-2026,South,C,134,4,129,-3.70%
01-03-2026,South,C,212,4,196,-7.60%
01-04-2025,North,C,218,4,206,-5.40%
01-05-2025,North,C,235,4,213,-9.40%
01-06-2025,North,C,95,4,84,-11.90%
01-07-2025,North,C,185,4,166,-10.30%
01-08-2025,North,C,179,4,163,-8.80%
01-09-2025,North,C,120,4,111,-7.70%
01-10-2025,North,C,234,4,217,-7.20%
01-11-2025,North,C,189,4,179,-5.00%
01-12-2025,North,C,139,4,132,-5.10%
01-01-2026,North,C,180,4,168,-6.90%
01-02-2026,North,C,151,4,134,-11.20%
01-03-2026,North,C,149,4,141,-5.60%
01-04-2025,North,C,92,4,87,-4.90%
01-05-2025,North,C,234,4,224,-4.10%
01-06-2025,North,C,170,4,151,-11.20%
01-07-2025,North,C,213,4,197,-7.50%
01-08-2025,North,C,101,4,92,-9.20%
01-09-2025,North,C,195,4,190,-2.70%
01-10-2025,North,C,216,4,206,-4.50%
01-11-2025,North,C,238,4,228,-4.40%
01-12-2025,North,C,210,4,190,-9.40%
01-01-2026,North,C,137,4,124,-9.70%
01-02-2026,North,C,219,4,194,-11.60%
01-03-2026,North,C,183,4,178,-2.60%
01-04-2025,North,A,94,4,85,-9.60%
01-05-2025,North,A,144,4,141,-2.00%
01-06-2025,North,A,108,4,104,-3.80%
01-07-2025,North,A,162,4,145,-10.60%
01-08-2025,North,A,142,4,136,-4.30%
01-09-2025,North,A,150,4,136,-9.30%
01-10-2025,North,A,110,4,101,-7.90%
01-11-2025,North,A,119,4,114,-4.10%
01-12-2025,North,A,117,4,113,-3.20%
01-01-2026,North,A,121,4,110,-9.40%
01-02-2026,North,A,109,4,101,-7.50%
01-03-2026,North,A,119,4,110,-7.90%
01-04-2025,South,A,157,4,147,-6.60%
01-05-2025,South,A,142,4,137,-3.70%
01-06-2025,South,A,94,4,86,-8.80%
01-07-2025,South,A,164,4,152,-7.00%
01-08-2025,South,A,152,4,146,-3.80%
01-09-2025,South,A,75,4,68,-8.90%
01-10-2025,South,A,62,4,60,-3.70%
01-11-2025,South,A,116,4,104,-10.20%
01-12-2025,South,A,95,4,91,-4.20%
01-01-2026,South,A,168,4,153,-9.20%
01-02-2026,South,A,90,4,87,-3.50%
01-03-2026,South,A,153,4,143,-6.60%
01-04-2025,West,A,234,4,218,-6.70%
01-05-2025,West,A,148,4,140,-5.60%
01-06-2025,West,A,213,4,192,-9.90%
01-07-2025,West,A,252,4,231,-8.50%
01-08-2025,West,A,154,4,144,-6.60%
01-09-2025,West,A,131,4,123,-6.40%
01-10-2025,West,A,215,4,209,-2.80%
01-11-2025,West,A,206,4,186,-9.90%
01-12-2025,West,A,211,4,192,-8.80%
01-01-2026,West,A,162,4,146,-10.10%
01-02-2026,West,A,184,4,164,-10.80%
01-03-2026,West,A,133,4,127,-4.90%
01-04-2021,North,A,167,4,162,-2.80%
01-05-2021,North,A,238,4,225,-5.60%
01-06-2021,North,A,200,4,191,-4.40%
01-07-2021,North,A,245,4,227,-7.40%
01-08-2021,North,A,253,4,224,-11.60%
01-09-2021,North,A,240,4,223,-7.00%
01-10-2021,North,A,182,4,168,-7.40%
01-11-2021,North,A,191,4,186,-2.60%
01-12-2021,North,A,204,4,187,-8.20%
01-01-2022,North,A,204,4,185,-9.20%
01-02-2022,North,A,185,4,181,-2.40%
01-03-2022,North,A,196,4,178,-9.40%
01-04-2022,North,A,297,4,282,-5.00%
01-05-2022,North,A,417,4,394,-5.50%
01-06-2022,North,A,362,4,341,-5.90%
01-07-2022,North,A,436,4,390,-10.50%
01-08-2022,North,A,415,4,406,-2.10%
01-09-2022,North,A,412,4,392,-4.90%
01-10-2022,North,A,302,4,284,-6.10%
01-11-2022,North,A,300,4,273,-8.90%
01-12-2022,North,A,376,4,332,-11.80%
01-01-2023,North,A,302,4,271,-10.10%
01-02-2023,North,A,265,4,244,-8.10%
01-03-2023,North,A,339,4,323,-4.80%
01-04-2023,North,A,65,4,60,-7.70%
01-05-2023,North,A,104,4,95,-8.50%
01-06-2023,North,A,94,4,86,-8.40%
01-07-2023,North,A,94,4,87,-7.20%
01-08-2023,North,A,92,4,88,-4.80%
01-09-2023,North,A,170,4,157,-7.40%
01-10-2023,North,A,93,4,84,-10.00%
01-11-2023,North,A,143,4,137,-4.20%
01-12-2023,North,A,174,4,169,-2.80%
01-01-2024,North,A,128,4,114,-10.80%
01-02-2024,North,A,84,4,81,-3.50%
01-03-2024,North,A,126,4,118,-6.40%
01-04-2024,North,A,158,4,143,-9.40%
01-05-2024,North,A,77,4,75,-2.20%
01-06-2024,North,A,87,4,78,-10.50%
01-07-2024,North,A,126,4,115,-8.50%
01-08-2024,North,A,121,4,108,-10.60%
01-09-2024,North,A,109,4,101,-7.30%
01-10-2024,North,A,70,4,68,-3.50%
01-11-2024,North,A,124,4,111,-10.10%
01-12-2024,North,A,169,4,165,-2.60%
01-01-2025,North,A,151,4,134,-11.40%
01-02-2025,North,A,84,4,79,-6.30%
01-03-2025,North,A,99,4,91,-7.70%
01-04-2021,South,A,158,4,146,-7.80%
01-05-2021,South,A,212,4,206,-2.60%
01-06-2021,South,A,230,4,222,-3.60%
01-07-2021,South,A,155,4,145,-6.70%
01-08-2021,South,A,219,4,199,-9.20%
01-09-2021,South,A,169,4,164,-2.80%
01-10-2021,South,A,180,4,162,-10.00%
01-11-2021,South,A,234,4,210,-10.10%
01-12-2021,South,A,172,4,153,-11.30%
01-01-2022,South,A,176,4,169,-3.80%
01-02-2022,South,A,189,4,167,-11.50%
01-03-2022,South,A,239,4,232,-3.00%
01-04-2022,South,A,218,4,193,-11.70%
01-05-2022,South,A,226,4,211,-6.40%
01-06-2022,South,A,134,4,120,-10.30%
01-07-2022,South,A,183,4,162,-11.30%
01-08-2022,South,A,239,4,234,-2.30%
01-09-2022,South,A,200,4,185,-7.60%
01-10-2022,South,A,217,4,201,-7.40%
01-11-2022,South,A,244,4,229,-6.00%
01-12-2022,South,A,200,4,178,-11.20%
01-01-2023,South,A,149,4,135,-9.30%
01-02-2023,South,A,216,4,205,-4.90%
01-03-2023,South,A,137,4,129,-5.80%
01-04-2023,South,A,213,4,199,-6.80%
01-05-2023,South,A,165,4,157,-5.10%
01-06-2023,South,A,99,4,93,-5.80%
01-07-2023,South,A,163,4,146,-10.20%
01-08-2023,South,A,89,4,83,-6.20%
01-09-2023,South,A,184,4,171,-7.30%
01-10-2023,South,A,134,4,120,-10.30%
01-11-2023,South,A,187,4,166,-11.00%
01-12-2023,South,A,216,4,198,-8.40%
01-01-2024,South,A,167,4,152,-9.00%
01-02-2024,South,A,253,4,241,-4.60%
01-03-2024,South,A,120,4,113,-5.60%
01-04-2024,South,A,159,4,155,-2.60%
01-05-2024,South,A,209,4,201,-3.80%
01-06-2024,South,A,108,4,98,-9.00%
01-07-2024,South,A,212,4,197,-7.10%
01-08-2024,South,A,200,4,196,-2.10%
01-09-2024,South,A,93,4,83,-10.70%
01-10-2024,South,A,207,4,189,-8.70%
